COLOR_GrasSurface
N044.24.02.506 E002.29.30.370
N044.24.02.858 E002.29.30.926
N044.24.02.604 E002.29.31.517
N044.24.05.285 E002.29.34.335
N044.24.03.597 E002.29.37.387
N044.24.05.721 E002.29.39.854
N044.24.07.325 E002.29.37.021
N044.24.10.348 E002.29.39.951
N044.24.12.223 E002.29.36.425
N044.24.17.613 E002.29.26.434
N044.24.19.056 E002.29.24.495
N044.24.20.082 E002.29.23.321
N044.24.20.901 E002.29.21.633
N044.24.27.058 E002.29.11.784
N044.24.27.206 E002.29.11.697
N044.24.27.397 E002.29.11.651
N044.24.27.613 E002.29.11.728
N044.24.27.874 E002.29.11.954
N044.24.28.194 E002.29.12.273
N044.24.28.445 E002.29.12.519
N044.24.28.913 E002.29.13.003
N044.24.29.249 E002.29.13.185
N044.24.29.668 E002.29.13.201
N044.24.30.033 E002.29.13.083
N044.24.30.318 E002.29.12.913
N044.24.30.649 E002.29.12.474
N044.24.30.963 E002.29.12.251
N044.24.32.657 E002.29.14.070
N044.24.33.729 E002.29.12.423
N044.24.34.234 E002.29.11.545
N044.24.34.780 E002.29.10.993
N044.24.36.542 E002.29.08.613
N044.24.36.833 E002.29.08.156
N044.24.37.124 E002.29.07.402
N044.24.37.073 E002.29.07.151
N044.24.35.678 E002.29.05.678
N044.24.38.301 E002.29.01.180
N044.24.39.916 E002.28.58.146
N044.24.42.831 E002.28.53.835
N044.24.42.825 E002.28.53.533
N044.24.42.547 E002.28.53.045
N044.24.48.678 E002.28.42.430
N044.24.50.437 E002.28.37.506
N044.24.52.704 E002.28.33.471
N044.24.52.767 E002.28.32.566
N044.24.52.718 E002.28.31.878
N044.24.52.652 E002.28.31.319
N044.24.52.473 E002.28.30.786
N044.24.52.275 E002.28.30.236
N044.24.52.025 E002.28.29.356
N044.24.51.801 E002.28.28.399
N044.24.51.491 E002.28.27.151
N044.24.51.280 E002.28.26.152
N044.24.51.182 E002.28.25.667
N044.24.51.329 E002.28.24.764
N044.24.51.514 E002.28.23.555
N044.24.51.601 E002.28.22.738
N044.24.51.748 E002.28.21.597
N044.24.51.995 E002.28.20.407
N044.24.52.264 E002.28.19.758
N044.24.53.019 E002.28.18.264
N044.24.53.412 E002.28.17.528
N044.24.52.648 E002.28.16.530
N044.24.51.764 E002.28.15.451
N044.24.51.330 E002.28.15.108
N044.24.50.791 E002.28.14.808
N044.24.47.994 E002.28.12.417
N044.24.45.047 E002.28.11.615
N044.24.18.215 E002.28.56.357
N044.24.16.679 E002.28.59.542
N044.24.14.096 E002.29.04.828
N044.24.13.218 E002.29.07.299
N044.24.11.652 E002.29.10.436
N044.24.09.448 E002.29.13.056
N044.24.07.843 E002.29.15.120
N044.24.06.113 E002.29.17.664
N044.24.04.332 E002.29.19.815
N044.24.03.500 E002.29.21.812
N044.24.02.592 E002.29.23.942
N044.24.02.005 E002.29.26.108
N044.24.01.508 E002.29.27.908
N044.24.01.815 E002.29.29.281
N044.24.01.985 E002.29.29.985

COLOR_HardSurface4
N044.24.31.682 E002.29.10.413
N044.24.32.372 E002.29.11.001
N044.24.33.771 E002.29.08.675
N044.24.35.375 E002.29.06.220
N044.24.38.316 E002.29.00.958
N044.24.39.179 E002.28.57.504
N044.24.39.107 E002.28.57.206
N044.24.38.884 E002.28.57.032
N044.24.38.291 E002.28.58.227
N044.24.37.234 E002.29.00.027
N044.24.31.722 E002.29.09.776

COLOR_HardSurface3
N044.24.37.275 E002.29.00.002
N044.24.36.584 E002.28.59.254
N044.24.35.029 E002.28.59.848
N044.24.31.217 E002.29.05.673
N044.24.29.865 E002.29.08.103
N044.24.29.317 E002.29.07.506
N044.24.28.683 E002.29.08.594
N044.24.31.177 E002.29.11.355
N044.24.31.931 E002.29.10.003
N044.24.31.921 E002.29.09.818
N044.24.31.977 E002.29.09.565
N044.24.32.099 E002.29.09.298
N044.24.32.534 E002.29.08.540
N044.24.32.992 E002.29.07.649

COLOR_HardSurface2
N044.24.28.968 E002.29.02.921
N044.24.29.719 E002.29.03.768
N044.24.29.940 E002.29.04.191
N044.24.30.087 E002.29.04.720
N044.24.30.120 E002.29.05.116
N044.24.30.119 E002.29.05.469
N044.24.30.082 E002.29.05.806
N044.24.29.980 E002.29.06.179
N044.24.29.819 E002.29.06.628
N044.24.29.302 E002.29.07.534
N044.24.29.864 E002.29.08.175
N044.24.31.277 E002.29.05.727
N044.24.32.289 E002.29.04.764
N044.24.35.084 E002.28.59.870
N044.24.36.633 E002.28.59.300
N044.24.36.274 E002.28.58.900
N044.24.38.298 E002.28.58.242
N044.24.38.965 E002.28.57.116
N044.24.39.114 E002.28.57.293
N044.24.39.687 E002.28.56.817
N044.24.39.774 E002.28.56.813
N044.24.39.895 E002.28.56.892
N044.24.40.080 E002.28.57.116
N044.24.40.449 E002.28.56.462
N044.24.41.815 E002.28.53.564
N044.24.42.228 E002.28.52.707
N044.24.41.650 E002.28.52.047
N044.24.41.475 E002.28.51.902
N044.24.41.099 E002.28.51.731
N044.24.37.538 E002.28.57.898
N044.24.37.391 E002.28.58.015
N044.24.34.982 E002.28.58.800
N044.24.34.612 E002.28.58.928
N044.24.34.384 E002.28.59.033
N044.24.34.151 E002.28.59.222
N044.24.33.923 E002.28.59.567
N044.24.32.258 E002.29.02.500
N044.24.32.064 E002.29.02.764
N044.24.31.836 E002.29.02.981
