N044.24.34.47 E002.29.01.362 1
N044.24.32.75 E002.29.04.412 2
N044.24.30.76 E002.29.07.150 3
N044.24.30.88 E002.29.07.480 3A
N044.24.31.31 E002.29.07.809 4
N044.24.31.62 E002.29.08.311 3B
N044.24.31.86 E002.29.08.398 5
N044.24.31.60 E002.29.05.764 7
N044.24.31.87 E002.29.05.764 7A
N044.24.32.14 E002.29.06.371 8
N044.24.32.59 E002.29.06.682 7B
N044.24.32.66 E002.29.06.942 9
N044.24.29.27 E002.29.08.259 T10
N044.24.41.26 E002.28.55.250 Hangar
N044.24.34.69 E002.29.06.880 Hangar
N044.24.37.50 E002.29.01.415 TWR
N044.24.38.56 E002.28.59.735 Terminal
