N042.33.02.220 E009.28.42.829 ACB
N042.32.51.398 E009.28.51.172 TERMINAL
N042.32.48.595 E009.28.52.591 FRET
N042.32.34.108 E009.28.57.420 CCM
N042.32.38.546 E009.28.59.714 A1-C
N042.32.40.354 E009.28.58.634 A2
N042.32.42.547 E009.28.58.667 P3
N042.32.44.282 E009.28.57.980 A4
N042.32.46.066 E009.28.57.162 A5
N042.32.47.898 E009.28.56.311 P7
N042.32.49.730 E009.28.55.559 P8
N042.32.51.609 E009.28.54.741 P9
N042.32.53.441 E009.28.53.956 P10
N042.32.55.345 E009.28.53.236 P11
N042.32.56.610 E009.28.52.519 P12
N042.32.56.996 E009.28.45.918 B14
N042.32.57.480 E009.28.43.505 B15
N042.32.57.253 E009.28.44.350 B16
N042.32.59.859 E009.28.44.537 C23
N042.32.59.849 E009.28.43.867 C24
N042.32.59.830 E009.28.43.170 C25
N042.32.59.820 E009.28.42.487 C26
N042.33.00.925 E009.28.44.510 C33
N042.33.00.925 E009.28.43.827 C34
N042.33.00.906 E009.28.43.117 C35
N042.33.00.876 E009.28.42.420 C36
N042.33.02.661 E009.28.48.281 D9
N042.33.02.371 E009.28.49.818 D10
N042.33.03.842 E009.28.49.295 D11
N042.33.04.275 E009.28.47.626 D16
N042.33.06.027 E009.28.48.212 FUEL
N042.32.35.413 E009.29.01.055 S1
