COLOR_GrasSurface          
N042.32.20.605 E008.47.31.463
N042.32.20.353 E008.47.31.416
N042.32.19.817 E008.47.31.299
N042.32.19.208 E008.47.31.220
N042.32.18.515 E008.47.31.174
N042.32.18.396 E008.47.31.165
N042.32.18.340 E008.47.31.150
N042.32.18.290 E008.47.31.117
N042.32.18.206 E008.47.31.050
N042.32.17.697 E008.47.30.614
N042.32.17.140 E008.47.30.109
N042.32.17.014 E008.47.29.910
N042.32.16.511 E008.47.28.723
N042.32.15.815 E008.47.27.161
N042.32.15.274 E008.47.27.288
N042.32.14.808 E008.47.27.410
N042.32.14.325 E008.47.27.498
N042.32.13.633 E008.47.27.550
N042.32.08.463 E008.47.27.749
N042.31.56.248 E008.47.28.318
N042.31.52.952 E008.47.28.457
N042.31.52.076 E008.47.28.470
N042.31.51.391 E008.47.28.392
N042.31.50.849 E008.47.28.261
N042.31.50.221 E008.47.28.009
N042.31.49.820 E008.47.27.770
N042.31.49.413 E008.47.27.486
N042.31.49.003 E008.47.27.155
N042.31.48.741 E008.47.26.927
N042.31.48.457 E008.47.26.609
N042.31.48.074 E008.47.26.132
N042.31.47.519 E008.47.25.294
N042.31.45.955 E008.47.22.793
N042.31.45.246 E008.47.22.067
N042.31.44.875 E008.47.21.770
N042.31.44.421 E008.47.21.475
N042.31.43.981 E008.47.21.227
N042.31.43.417 E008.47.21.001
N042.31.43.031 E008.47.20.897
N042.31.42.318 E008.47.20.804
N042.31.41.612 E008.47.20.769
N042.31.40.932 E008.47.20.868
N042.31.37.728 E008.47.21.185
N042.31.34.402 E008.47.21.578
N042.31.32.079 E008.47.21.870
N042.31.30.311 E008.47.22.082
N042.31.28.825 E008.47.22.261
N042.31.27.033 E008.47.22.483
N042.31.24.493 E008.47.22.822
N042.31.22.979 E008.47.23.325
N042.31.21.968 E008.47.23.633
N042.31.21.966 E008.47.23.695
N042.31.21.131 E008.47.24.127
N042.31.19.200 E008.47.25.132
N042.31.18.617 E008.47.25.546
N042.31.18.067 E008.47.25.989
N042.31.16.505 E008.47.27.167
N042.31.16.211 E008.47.27.365
N042.31.15.428 E008.47.27.930
N042.31.14.740 E008.47.28.381
N042.31.14.223 E008.47.28.745
N042.31.13.623 E008.47.29.101
N042.31.13.192 E008.47.29.329
N042.31.12.881 E008.47.29.506
N042.31.12.707 E008.47.29.610
N042.31.12.547 E008.47.29.712
N042.31.12.458 E008.47.29.789
N042.31.12.383 E008.47.29.855
N042.31.12.321 E008.47.29.936
N042.31.12.261 E008.47.30.008
N042.31.12.204 E008.47.30.089
N042.31.12.167 E008.47.30.117
N042.31.12.092 E008.47.30.156
N042.31.11.909 E008.47.30.190
N042.31.10.681 E008.47.30.316
N042.31.08.876 E008.47.30.451
N042.31.07.563 E008.47.30.668
N042.31.06.722 E008.47.30.837
N042.31.05.192 E008.47.31.364
N042.31.04.632 E008.47.31.676
N042.31.04.593 E008.47.33.451
N042.31.04.585 E008.47.35.369
N042.31.04.590 E008.47.35.585
N042.31.04.620 E008.47.35.719
N042.31.04.661 E008.47.35.848
N042.31.04.710 E008.47.35.960
N042.31.04.762 E008.47.36.050
N042.31.04.858 E008.47.36.186
N042.31.04.958 E008.47.36.332
N042.31.05.139 E008.47.36.559
N042.31.05.303 E008.47.36.746
N042.31.05.547 E008.47.37.008
N042.31.05.861 E008.47.37.297
N042.31.06.257 E008.47.37.607
N042.31.06.960 E008.47.38.098
N042.31.07.066 E008.47.38.164
N042.31.07.149 E008.47.38.198
N042.31.07.253 E008.47.38.217
N042.31.07.355 E008.47.38.214
N042.31.07.485 E008.47.38.194
N042.31.07.610 E008.47.38.169
N042.31.07.942 E008.47.38.075
N042.31.08.733 E008.47.37.829
N042.31.08.868 E008.47.37.810
N042.31.08.928 E008.47.37.807
N042.31.08.952 E008.47.37.798
N042.31.08.977 E008.47.37.757
N042.31.09.197 E008.47.37.446
N042.31.09.220 E008.47.37.425
N042.31.09.236 E008.47.37.418
N042.31.09.261 E008.47.37.421
N042.31.09.285 E008.47.37.435
N042.31.09.317 E008.47.37.473
N042.31.09.367 E008.47.37.550
N042.31.09.862 E008.47.38.528
N042.31.10.032 E008.47.38.855
N042.31.10.173 E008.47.39.082
N042.31.10.265 E008.47.39.203
N042.31.10.317 E008.47.39.254
N042.31.10.360 E008.47.39.290
N042.31.10.400 E008.47.39.316
N042.31.10.445 E008.47.39.337
N042.31.10.491 E008.47.39.349
N042.31.10.550 E008.47.39.356
N042.31.10.654 E008.47.39.370
N042.31.11.763 E008.47.39.459
N042.31.14.375 E008.47.39.663
N042.31.17.066 E008.47.39.899
N042.31.27.306 E008.47.40.755
N042.31.30.232 E008.47.40.981
N042.31.29.730 E008.47.40.300
N042.31.29.328 E008.47.39.674
N042.31.28.575 E008.47.38.236
N042.31.35.172 E008.47.38.228
N042.31.48.337 E008.47.38.185
N042.31.48.448 E008.47.38.869
N042.31.48.503 E008.47.39.101
N042.31.48.582 E008.47.39.364
N042.31.49.723 E008.47.43.257
N042.31.52.243 E008.47.42.903
N042.31.53.105 E008.47.42.392
N042.31.55.800 E008.47.41.988
N042.31.57.630 E008.47.42.286
N042.32.00.052 E008.47.41.053
N042.32.00.665 E008.47.40.881
N042.32.00.764 E008.47.40.856
N042.32.00.808 E008.47.40.839
N042.32.00.844 E008.47.40.820
N042.32.00.886 E008.47.40.795
N042.32.00.937 E008.47.40.752
N042.32.01.104 E008.47.40.610
N042.32.01.235 E008.47.40.503
N042.32.01.424 E008.47.40.340
N042.32.02.291 E008.47.39.619
N042.32.02.369 E008.47.39.580
N042.32.02.405 E008.47.39.566
N042.32.02.459 E008.47.39.549
N042.32.04.033 E008.47.39.255
N042.32.04.194 E008.47.39.224
N042.32.04.339 E008.47.39.198
N042.32.04.440 E008.47.39.173
N042.32.04.537 E008.47.39.137
N042.32.05.744 E008.47.38.659
N042.32.06.066 E008.47.38.546
N042.32.06.106 E008.47.38.529
N042.32.06.128 E008.47.38.522
N042.32.06.148 E008.47.38.522
N042.32.06.169 E008.47.38.526
N042.32.06.183 E008.47.38.539
N042.32.06.210 E008.47.38.561
N042.32.06.269 E008.47.38.601
N042.32.06.301 E008.47.38.621
N042.32.06.328 E008.47.38.632
N042.32.06.348 E008.47.38.633
N042.32.06.379 E008.47.38.632
N042.32.06.406 E008.47.38.629
N042.32.06.439 E008.47.38.622
N042.32.06.556 E008.47.38.595
N042.32.08.361 E008.47.38.198
N042.32.11.349 E008.47.38.079
N042.32.14.088 E008.47.37.988
N042.32.22.900 E008.47.37.936
N042.32.24.133 E008.47.37.889
N042.32.25.020 E008.47.37.872
N042.32.25.502 E008.47.37.907
N042.32.25.927 E008.47.37.884
N042.32.26.286 E008.47.37.854
N042.32.26.944 E008.47.37.869
N042.32.27.279 E008.47.37.919
N042.32.27.823 E008.47.37.942
N042.32.28.323 E008.47.37.924
N042.32.28.567 E008.47.37.876
N042.32.28.827 E008.47.37.865
N042.32.29.308 E008.47.37.816
N042.32.30.256 E008.47.37.793
N042.32.30.245 E008.47.37.004
N042.32.30.271 E008.47.36.370
N042.32.30.665 E008.47.34.461
N042.32.30.591 E008.47.33.752
N042.32.30.561 E008.47.33.555
