N041.30.01.133:E009.05.53.786 7
N041.30.00.805:E009.05.55.597 8
N041.29.59.798:E009.05.54.337 9
N041.29.58.825:E009.05.52.985 10
N041.29.57.887:E009.05.51.751 11
N041.29.57.008:E009.05.48.536 12
N041.29.57.640:E009.05.49.910 12B
N041.29.56.941:E009.05.50.485 13
N041.29.57.964:E009.05.47.593 14
N041.30.07.050:E009.05.58.730 H1
N041.30.07.610:E009.05.59.550 H2
N041.30.08.190:E009.06.00.360 H3
N041.30.08.740:E009.06.01.200 H4
N041.30.02.545:E009.05.56.407 21
N041.30.02.619:E009.05.57.141 21A
N041.30.02.106:E009.05.57.655 21B
N041.30.04.272:E009.05.57.808 22
N041.30.03.700:E009.05.58.540 23
N041.30.03.010:E009.05.59.320 24
N041.30.05.520:E009.05.59.750 31
N041.30.05.050:E009.06.00.210 32
N041.30.04.530:E009.06.00.830 33
N041.30.04.040:E009.06.01.350 34
N041.30.06.540:E009.06.01.400 35
N041.30.06.020:E009.06.02.070 36
N041.30.05.600:E009.06.02.570 37
N041.30.05.110:E009.06.03.080 38
N041.30.07.680:E009.06.02.830 51
N041.30.07.260:E009.06.03.320 52
N041.30.06.860:E009.06.03.820 53
N041.30.06.440:E009.06.04.360 54
N041.30.06.070:E009.06.04.810 55
N041.29.55.874:E009.05.52.921 Terminal
N041.29.58.704:E009.05.56.145 TWR
