

 COLOR_GrasSurface
 N041.54.34.914 E008.47.50.913
N041.54.39.551 E008.47.53.623
N041.54.43.311 E008.47.55.943
N041.54.44.631 E008.47.56.832
N041.54.48.201 E008.47.59.838
N041.54.51.200 E008.48.02.337
N041.54.52.170 E008.48.03.168
N041.54.52.440 E008.48.03.401
N041.54.52.587 E008.48.03.466
N041.54.52.790 E008.48.03.460
N041.54.53.256 E008.48.03.340
N041.54.53.917 E008.48.03.084
N041.54.54.175 E008.48.02.994
N041.54.54.404 E008.48.02.946
N041.54.54.740 E008.48.02.977
N041.54.55.102 E008.48.03.055
N041.54.55.434 E008.48.03.214
N041.54.56.167 E008.48.03.666
N041.54.57.770 E008.48.04.676
N041.54.59.198 E008.48.05.565
N041.55.03.489 E008.48.08.278
N041.55.02.460 E008.48.11.383
N041.55.03.705 E008.48.12.174
N041.55.03.533 E008.48.12.752
N041.55.05.267 E008.48.13.875
N041.55.06.527 E008.48.18.403
N041.55.10.651 E008.48.18.198
N041.55.11.505 E008.48.18.204
N041.55.16.449 E008.48.17.681
N041.55.20.919 E008.48.17.539
N041.55.24.551 E008.48.17.275
N041.55.25.945 E008.48.17.232
N041.55.53.256 E008.48.34.174
N041.55.53.569 E008.48.34.354
N041.55.53.709 E008.48.34.431
N041.55.53.886 E008.48.34.475
N041.55.54.102 E008.48.34.462
N041.55.54.526 E008.48.34.413
N041.55.54.947 E008.48.34.356
N041.55.55.327 E008.48.34.262
N041.55.55.531 E008.48.34.172
N041.55.56.262 E008.48.33.599
N041.55.56.832 E008.48.33.038
N041.55.57.577 E008.48.32.121
N041.55.58.259 E008.48.30.958
N041.55.59.016 E008.48.29.443
N041.55.59.277 E008.48.28.674
N041.55.59.792 E008.48.26.598
N041.55.59.930 E008.48.25.461
N041.55.59.989 E008.48.23.851
N041.55.59.902 E008.48.22.283
N041.55.59.563 E008.48.20.656
N041.55.59.089 E008.48.19.069
N041.55.58.568 E008.48.18.058
N041.55.57.517 E008.48.16.372
N041.55.57.008 E008.48.15.762
N041.55.56.561 E008.48.15.460
N041.55.56.408 E008.48.15.224
N041.55.55.352 E008.48.15.674
N041.55.48.489 E008.48.11.734
N041.55.45.163 E008.48.09.869
N041.55.42.834 E008.48.06.860
N041.55.42.482 E008.48.07.026
N041.55.40.345 E008.48.04.734
N041.55.38.893 E008.48.03.491
N041.55.31.412 E008.47.57.251
N041.55.32.653 E008.47.37.559
N041.55.32.693 E008.47.36.734
N041.55.32.626 E008.47.36.000
N041.55.32.768 E008.47.35.811
N041.55.33.012 E008.47.31.484
N041.55.33.280 E008.47.31.488
N041.55.33.448 E008.47.28.463
N041.55.31.954 E008.47.28.302
N041.55.32.503 E008.47.16.155
N041.55.26.883 E008.47.13.460
N041.55.25.419 E008.47.17.266
N041.55.25.650 E008.47.17.471
N041.55.23.674 E008.47.22.580
N041.55.23.627 E008.47.23.070
N041.55.22.961 E008.47.24.783
N041.55.19.918 E008.47.24.635
N041.55.19.861 E008.47.25.988
N041.55.17.926 E008.47.25.652
N041.55.17.802 E008.47.27.751
N041.55.17.338 E008.47.28.371
N041.55.16.405 E008.47.30.662
N041.55.15.959 E008.47.31.814
N041.55.15.692 E008.47.32.846
N041.55.15.402 E008.47.34.783
N041.55.15.180 E008.47.34.839
N041.55.14.972 E008.47.35.764
N041.55.14.942 E008.47.36.227
N041.55.15.011 E008.47.36.741
N041.55.15.061 E008.47.36.933
N041.55.15.207 E008.47.37.500
N041.55.15.297 E008.47.38.233
N041.55.15.226 E008.47.39.084
N041.55.15.056 E008.47.39.789
N041.55.14.773 E008.47.40.337
N041.55.14.270 E008.47.40.832
N041.55.13.695 E008.47.41.092
N041.55.07.287 E008.47.37.333
N041.55.08.124 E008.47.35.020
N041.55.07.048 E008.47.34.078
N041.55.06.033 E008.47.34.597
N041.55.05.703 E008.47.35.493
N041.55.01.270 E008.47.32.775
N041.54.53.070 E008.47.30.814
N041.54.37.802 E008.47.42.774


 COLOR_Terrain1
 N041.55.26.421 E008.48.07.032
N041.55.24.747 E008.48.08.999
N041.55.25.235 E008.48.09.646
N041.55.25.327 E008.48.09.847
N041.55.25.389 E008.48.10.031
N041.55.25.421 E008.48.10.210
N041.55.25.439 E008.48.10.402
N041.55.25.437 E008.48.10.663
N041.55.25.409 E008.48.11.111
N041.55.25.122 E008.48.15.578
N041.55.27.082 E008.48.15.670
N041.55.27.298 E008.48.12.122
N041.55.27.333 E008.48.11.899
N041.55.27.387 E008.48.11.738
N041.55.27.469 E008.48.11.589
N041.55.27.561 E008.48.11.467
N041.55.27.681 E008.48.11.369
N041.55.27.809 E008.48.11.310
N041.55.27.944 E008.48.11.293
N041.55.28.067 E008.48.11.287
N041.55.28.563 E008.48.11.346
N041.55.28.360 E008.48.09.193
N041.55.27.887 E008.48.08.634
N041.55.27.782 E008.48.08.480
N041.55.27.699 E008.48.08.313
N041.55.27.645 E008.48.08.144
N041.55.27.608 E008.48.07.967
N041.55.27.590 E008.48.07.825
N041.55.27.590 E008.48.07.674
N041.55.28.083 E008.48.00.044
N041.55.28.101 E008.47.59.873
N041.55.28.144 E008.47.59.709
N041.55.28.221 E008.47.59.546
N041.55.28.343 E008.47.59.389
N041.55.28.481 E008.47.59.271
N041.55.28.622 E008.47.59.220
N041.55.28.767 E008.47.59.213
N041.55.29.048 E008.47.59.264
N041.55.28.836 E008.47.57.997
N041.55.28.599 E008.47.57.724
N041.55.28.498 E008.47.57.584
N041.55.28.423 E008.47.57.446
N041.55.28.358 E008.47.57.277
N041.55.28.315 E008.47.57.095
N041.55.28.291 E008.47.56.923
N041.55.28.296 E008.47.56.720
N041.55.28.671 E008.47.50.260
N041.55.28.662 E008.47.50.200
N041.55.28.636 E008.47.50.160
N041.55.28.326 E008.47.49.846
N041.55.28.309 E008.47.49.801
N041.55.28.305 E008.47.49.732
N041.55.28.338 E008.47.49.565
N041.55.28.384 E008.47.48.959
N041.55.28.410 E008.47.48.442
N041.55.28.382 E008.47.48.264
N041.55.28.300 E008.47.48.099
N041.55.28.051 E008.47.48.079
N041.55.27.969 E008.47.48.024
N041.55.27.900 E008.47.47.863
N041.55.27.854 E008.47.47.552
N041.55.27.758 E008.47.47.557


 COLOR_HardSurface4
 N041.55.26.436 E008.47.55.118
N041.55.26.411 E008.47.55.334
N041.55.26.359 E008.47.55.518
N041.55.26.281 E008.47.55.661
