N041.55.04.608 E008.47.39.215 1
N041.55.06.386 E008.47.40.284 2
N041.55.08.238 E008.47.41.467 3
N041.55.10.266 E008.47.42.765 4
N041.55.12.169 E008.47.43.910 5
N041.55.14.247 E008.47.45.246 6
N041.55.16.250 E008.47.46.467 7
N041.55.18.428 E008.47.47.880 8
N041.55.20.356 E008.47.49.025 9
N041.55.21.382 E008.47.49.826 11
N041.55.21.432 E008.47.51.353 10
N041.55.18.968 E008.47.31.652 H
N041.55.19.685 E008.47.33.528 L
N041.55.17.993 E008.47.35.092 L
N041.55.19.942 E008.47.40.126 J1
N041.55.19.070 E008.47.38.813 J2
N041.55.19.203 E008.47.36.812 J3
N041.55.19.019 E008.47.41.158 J4
N041.55.18.106 E008.47.39.673 J5
N041.55.17.963 E008.47.38.078 J6
N041.55.21.788 E008.47.26.398 PTT1
N041.55.21.634 E008.47.28.743 PTT2
N041.55.31.889 E008.47.29.214 K1
N041.55.06.050 E008.48.07.544 CCM
N041.55.13.115 E008.48.11.272 SECURITE
N041.55.11.941 E008.48.10.616 CIVILE
N041.55.21.385 E008.47.35.053 ACB
N041.55.20.728 E008.47.27.323 AEROPOSTALE
