N041.54.46.991 E008.47.39.778 A
N041.55.20.762 E008.48.00.977 B
N041.55.25.040 E008.48.03.540 H
N041.55.39.404 E008.48.12.509 C
N041.55.45.363 E008.48.16.469 D
N041.55.19.157 E008.48.08.782 F
N041.55.12.510 E008.48.04.821 E
N041.54.55.703 E008.47.37.904 T
N041.55.05.827 E008.47.44.019 T
N041.55.18.242 E008.47.51.590 T
N041.55.23.017 E008.47.46.786 G1
N041.55.23.686 E008.47.36.011 G2
N041.55.33.809 E008.48.01.637 D1
N041.55.24.163 E008.47.55.522 D2
N041.55.28.174 E008.47.35.429 X
N041.55.27.601 E008.47.43.874 X
N041.55.27.028 E008.47.52.318 X

