

COLOR_GrasSurface
N045.38.53.440 E005.52.35.843
N045.38.52.555 E005.52.34.431
N045.38.52.476 E005.52.34.364
N045.38.52.397 E005.52.34.356
N045.38.51.535 E005.52.34.428
N045.38.51.138 E005.52.34.504
N045.38.47.107 E005.52.35.710
N045.38.40.743 E005.52.37.639
N045.38.38.118 E005.52.38.423
N045.38.35.701 E005.52.39.154
N045.38.34.396 E005.52.39.506
N045.38.33.975 E005.52.39.605
N045.38.31.571 E005.52.39.835
N045.38.28.894 E005.52.40.041
N045.38.18.043 E005.52.40.902
N045.38.17.668 E005.52.40.953
N045.38.16.371 E005.52.41.060
N045.38.14.082 E005.52.41.255
N045.38.12.546 E005.52.41.389
N045.38.03.562 E005.52.42.106
N045.37.59.314 E005.52.42.431
N045.37.50.302 E005.52.43.140
N045.37.50.323 E005.52.43.557
N045.37.46.724 E005.52.43.864
N045.37.45.171 E005.52.43.985
N045.37.45.081 E005.52.44.157
N045.37.44.631 E005.52.44.082
N045.37.44.199 E005.52.44.082
N045.37.43.604 E005.52.44.140
N045.37.42.995 E005.52.44.165
N045.37.40.625 E005.52.44.346
N045.37.39.490 E005.52.49.237
N045.37.39.151 E005.52.50.718
N045.37.39.037 E005.52.51.433
N045.37.38.965 E005.52.51.995
N045.37.38.907 E005.52.52.978
N045.37.38.815 E005.52.54.435
N045.37.38.782 E005.52.55.022
N045.37.38.279 E005.52.59.669
N045.37.41.279 E005.52.59.051
N045.37.41.302 E005.52.59.222
N045.37.43.597 E005.52.59.019
N045.37.46.572 E005.52.58.776
N045.37.48.592 E005.52.58.647
N045.37.49.168 E005.52.58.604
N045.37.49.175 E005.52.58.494
N045.37.49.686 E005.52.58.631
N045.37.50.232 E005.52.58.737
N045.37.50.624 E005.52.58.775
N045.37.50.573 E005.53.04.847
N045.37.55.068 E005.53.04.611
N045.37.55.097 E005.53.05.681
N045.37.57.081 E005.53.05.574
N045.37.57.485 E005.53.06.081
N045.37.59.076 E005.53.06.008
N045.37.59.191 E005.53.07.089
N045.38.00.308 E005.53.06.998
N045.38.00.536 E005.53.06.877
N045.38.00.700 E005.53.06.641
N045.38.00.934 E005.53.06.184
N045.38.01.118 E005.53.05.878
N045.38.01.323 E005.53.05.750
N045.38.02.383 E005.53.05.617
N045.38.03.935 E005.53.05.460
N045.38.06.036 E005.53.05.307
N045.38.07.347 E005.53.05.203
N045.38.08.810 E005.53.05.158
N045.38.11.790 E005.53.04.885
N045.38.11.940 E005.53.04.909
N045.38.12.097 E005.53.04.969
N045.38.12.420 E005.53.05.206
N045.38.12.588 E005.53.05.295
N045.38.12.736 E005.53.05.320
N045.38.16.288 E005.53.04.957
N045.38.16.798 E005.53.04.982
N045.38.17.174 E005.53.05.123
N045.38.17.429 E005.53.05.342
N045.38.17.761 E005.53.05.787
N045.38.17.822 E005.53.05.932
N045.38.17.880 E005.53.06.152
N045.38.17.896 E005.53.06.456
N045.38.17.711 E005.53.08.507
N045.38.17.745 E005.53.08.717
N045.38.17.860 E005.53.08.812
N045.38.18.047 E005.53.08.934
N045.38.19.395 E005.53.08.837
N045.38.19.691 E005.53.08.686
N045.38.20.627 E005.53.08.022
N045.38.22.312 E005.53.06.655
N045.38.24.384 E005.53.05.470
N045.38.24.794 E005.53.05.352
N045.38.30.257 E005.53.05.000
N045.38.30.315 E005.53.05.322
N045.38.31.298 E005.53.05.349
N045.38.38.194 E005.53.04.815
N045.38.40.751 E005.53.04.567
N045.38.41.096 E005.53.04.383
N045.38.42.871 E005.53.04.205
N045.38.53.178 E005.53.03.515
N045.38.53.393 E005.52.47.534
N045.38.53.526 E005.52.36.234


COLOR_Terrain1
N045.38.21.702 E005.52.47.379
N045.38.21.639 E005.52.47.322
N045.38.21.570 E005.52.47.239
N045.38.21.524 E005.52.47.167
N045.38.21.480 E005.52.47.071
N045.38.21.450 E005.52.46.986
N045.38.21.432 E005.52.46.893
N045.38.21.423 E005.52.46.789
N045.38.21.362 E005.52.44.550
N045.38.21.378 E005.52.44.478
N045.38.21.397 E005.52.44.434
N045.38.21.447 E005.52.44.316
N045.38.21.476 E005.52.44.212
N045.38.21.481 E005.52.44.106
N045.38.21.469 E005.52.44.011
N045.38.21.441 E005.52.43.928
N045.38.21.400 E005.52.43.859
N045.38.21.360 E005.52.43.818
N045.38.21.291 E005.52.43.792
N045.38.21.232 E005.52.43.790
N045.38.21.174 E005.52.43.808
N045.38.21.118 E005.52.43.846
N045.38.21.076 E005.52.43.896
N045.38.21.039 E005.52.43.965
N045.38.21.007 E005.52.44.048
N045.38.21.001 E005.52.44.136
N045.38.21.007 E005.52.44.227
N045.38.21.033 E005.52.44.325
N045.38.21.073 E005.52.44.390
N045.38.21.124 E005.52.44.465
N045.38.21.155 E005.52.44.529
N045.38.21.167 E005.52.44.599
N045.38.21.252 E005.52.46.921
N045.38.21.246 E005.52.47.027
N045.38.21.222 E005.52.47.159
N045.38.21.189 E005.52.47.244
N045.38.21.139 E005.52.47.341
N045.38.21.071 E005.52.47.426
N045.38.20.990 E005.52.47.490
N045.38.21.786 E005.52.47.426


