N045.37.57.349 E005.53.01.762 P
N045.38.06.782 E005.53.00.461 L
N045.38.06.133 E005.53.02.991 ACB
N045.38.15.766 E005.52.58.597 1
N045.38.18.183 E005.52.59.349 2
N045.38.19.466 E005.52.59.725 3
N045.38.20.502 E005.53.00.151 4
N045.38.20.896 E005.52.59.324 5
N045.38.22.031 E005.53.00.076 6
N045.38.22.754 E005.52.58.923 7
N045.38.23.050 E005.52.59.700 8
N045.38.24.135 E005.52.58.647 9
N045.38.24.776 E005.52.59.474 10
N045.38.25.895 E005.52.58.472 11
N045.38.26.470 E005.52.59.449 12
N045.38.29.257 E005.52.59.412 13
N045.38.30.688 E005.52.59.299 14
N045.38.31.793 E005.52.59.187 15
N045.38.32.676 E005.52.58.706 16
N045.38.33.371 E005.52.59.139 17
N045.38.33.613 E005.52.58.561 18
N045.38.34.402 E005.52.59.075 19
N045.38.34.897 E005.52.58.385 20
N045.38.35.318 E005.52.58.321 21
N045.38.36.054 E005.52.58.994 22
N045.38.35.665 E005.52.55.224 23
N045.38.34.623 E005.52.55.289 24
N045.38.33.560 E005.52.55.321 25
N045.38.32.561 E005.52.55.369 26
N045.38.31.508 E005.52.55.449 27
N045.38.30.593 E005.52.55.481 28
N045.38.29.909 E005.52.55.513 29
N045.38.29.299 E005.52.55.513 30
