N045.37.49.835 E005.52.50.947 36
N045.38.41.329 E005.52.46.644 18
N045.37.58.741 E005.52.53.529 36R
N045.38.15.927 E005.52.51.999 18L
N045.38.26.586 E005.52.52.280 C
N045.38.25.698 E005.52.54.787 C
N045.38.43.602 E005.52.52.187 N
N045.38.28.937 E005.52.53.393 N
N045.38.19.061 E005.52.56.721 N1
N045.38.24.296 E005.52.56.231 N1
N045.38.30.237 E005.52.57.014 N2
N045.38.34.957 E005.52.56.623 N2
N045.37.54.621 E005.52.57.300 S
N045.38.01.787 E005.52.57.479 S
N045.38.13.955 E005.52.56.332 S
N045.38.24.032 E005.52.53.622 X
N045.38.21.797 E005.52.53.935 X
N045.38.19.305 E005.52.54.131 X
N045.38.17.507 E005.52.54.797 X
