N045.47.10.659 E003.09.02.873 C5
N045.47.18.409 E003.09.11.795 K5
N045.47.19.038 E003.09.14.666 K7
N045.47.17.732 E003.09.16.610 K6
N045.47.16.309 E003.09.14.074 K4
N045.47.11.358 E003.09.14.418 C4
N045.47.02.248 E003.09.17.487 D4
N045.47.03.092 E003.09.31.391 T3
N045.47.17.470 E003.09.25.376 B
N045.47.18.939 E003.09.30.310 K3
N045.47.19.626 E003.09.40.129 K2
N045.47.17.129 E003.09.37.406 C3
N045.47.04.660 E003.09.44.227 D3
N045.47.07.926 E003.10.20.676 T2
N045.47.10.333 E003.10.41.981 D2
N045.47.23.308 E003.11.18.563 C1
N045.47.25.723 E003.10.55.827 K1
N045.47.25.534 E003.10.23.731 C1
N045.47.12.573 E003.09.39.755 C3
N045.47.26.703 E003.09.08.268 L
N045.47.21.613 E003.09.15.498 L
N045.47.25.460 E003.09.14.404 L
N045.47.24.747 E003.09.06.976 Q
N045.47.09.413 E003.10.45.584 X
N045.47.10.268 E003.10.53.971 X
N045.47.10.935 E003.11.01.260 X
N045.47.11.710 E003.11.08.629 X
N045.47.12.377 E003.11.15.470 X
N045.47.13.045 E003.11.20.722 X
N045.47.14.354 E003.11.21.944 X
N045.47.16.891 E003.11.21.822 X
