COLOR_GrasSurface
N045.12.55.062 E005.50.27.883
N045.12.54.670 E005.50.28.387
N045.12.54.283 E005.50.28.757
N045.12.53.742 E005.50.29.225
N045.12.53.003 E005.50.29.738
N045.12.51.526 E005.50.30.808
N045.12.51.637 E005.50.42.591
N045.12.51.664 E005.50.44.785
N045.12.51.587 E005.50.46.172
N045.12.51.661 E005.50.47.366
N045.12.51.789 E005.50.48.632
N045.12.52.032 E005.50.49.898
N045.12.52.541 E005.50.51.203
N045.12.53.130 E005.50.52.691
N045.12.53.528 E005.50.54.267
N045.12.53.840 E005.50.56.026
N045.12.54.159 E005.50.57.743
N045.12.55.562 E005.51.00.214
N045.12.55.739 E005.50.59.865
N045.12.55.816 E005.50.59.445
N045.12.55.875 E005.50.58.988
N045.12.55.936 E005.50.58.639
N045.12.56.325 E005.50.58.779
N045.12.56.323 E005.50.58.760
N045.12.56.556 E005.50.58.624
N045.12.56.874 E005.50.58.769
N045.12.57.179 E005.50.59.094
N045.12.59.190 E005.51.02.725
N045.12.59.501 E005.51.03.140
N045.12.59.883 E005.51.03.300
N045.13.00.177 E005.51.03.321
N045.13.00.599 E005.51.03.182
N045.13.00.914 E005.51.02.958
N045.13.01.297 E005.51.02.873
N045.13.05.275 E005.51.08.454
N045.13.04.128 E005.51.11.188
N045.13.04.076 E005.51.11.238
N045.13.04.049 E005.51.11.295
N045.13.03.671 E005.51.11.959
N045.13.03.653 E005.51.11.996
N045.13.03.596 E005.51.12.483
N045.13.03.946 E005.51.12.995
N045.13.03.972 E005.51.13.019
N045.13.04.732 E005.51.13.747
N045.13.05.474 E005.51.14.179
N045.13.06.075 E005.51.14.484
N045.13.06.867 E005.51.14.667
N045.13.06.877 E005.51.14.665
N045.13.06.932 E005.51.14.667
N045.13.07.516 E005.51.14.688
N045.13.07.562 E005.51.14.694
N045.13.08.682 E005.51.14.524
N045.13.09.490 E005.51.14.135
N045.13.10.698 E005.51.12.713
N045.13.14.803 E005.51.11.182
N045.13.16.362 E005.51.13.404
N045.13.19.005 E005.51.09.447
N045.13.15.532 E005.51.04.774
N045.13.15.702 E005.51.04.529
N045.13.15.705 E005.51.04.523
N045.13.15.928 E005.51.04.200
N045.13.16.166 E005.51.03.898
N045.13.16.491 E005.51.03.522
N045.13.16.766 E005.51.03.283
N045.13.18.815 E005.51.01.873
N045.13.18.992 E005.51.01.701
N045.13.19.068 E005.51.01.486
N045.13.19.093 E005.51.01.226
N045.13.18.341 E005.51.00.151
N045.13.18.120 E005.50.59.803
N045.13.17.760 E005.50.59.298
N045.13.17.489 E005.50.58.858
N045.13.17.280 E005.50.58.558
N045.13.17.065 E005.50.58.287
N045.13.16.817 E005.50.57.964
N045.13.16.591 E005.50.57.685
N045.13.16.584 E005.50.57.678
N045.13.16.103 E005.50.57.197
N045.13.15.873 E005.50.56.998
N045.13.15.479 E005.50.56.909
N045.13.08.757 E005.50.47.568
N045.13.10.805 E005.50.44.532
N045.13.10.692 E005.50.38.566
N045.13.10.368 E005.50.38.547
N045.13.10.113 E005.50.38.593
N045.13.09.820 E005.50.38.635
N045.13.09.621 E005.50.38.643
N045.13.09.385 E005.50.38.608
N045.13.09.218 E005.50.38.579
N045.13.08.901 E005.50.38.426
N045.13.08.664 E005.50.38.317
N045.13.08.460 E005.50.38.253
N045.13.08.254 E005.50.38.230
N045.13.08.051 E005.50.38.286
N045.13.06.702 E005.50.42.299
N045.13.06.503 E005.50.42.114
N045.13.06.131 E005.50.41.829
N045.13.05.547 E005.50.41.382
N045.13.05.072 E005.50.41.036
N045.13.04.589 E005.50.40.716
N045.13.04.155 E005.50.40.412
N045.13.03.378 E005.50.39.892
N045.13.03.096 E005.50.39.766
N045.13.02.849 E005.50.39.555
N045.13.02.697 E005.50.39.388
N045.13.02.646 E005.50.39.158
N045.13.02.652 E005.50.39.148
N045.13.02.734 E005.50.38.845
N045.13.02.866 E005.50.38.555
N045.13.02.939 E005.50.38.358
N045.13.03.019 E005.50.38.149
N045.13.03.057 E005.50.37.974
N045.13.03.107 E005.50.37.732
N045.13.03.064 E005.50.37.413
N045.13.02.908 E005.50.37.124
N045.13.02.622 E005.50.36.893
N045.13.02.264 E005.50.36.607
