N045.44.07.403:E005.05.21.725 B3
N045.43.47.810:E005.05.25.290 B4
N045.43.12.433:E005.05.26.592 B6
N045.42.57.269:E005.05.27.505 B8
N045.42.40.808:E005.05.32.828 B9
N045.43.43.677:E005.05.29.528 V4
N045.43.32.504:E005.05.30.794 V5
N045.43.13.413:E005.05.32.740 V6
N045.43.01.282:E005.05.34.395 V8
N045.44.45.856:E005.05.05.965 A1
N045.44.35.193:E005.05.06.744 A2
N045.44.11.378:E005.05.08.691 A3
N045.43.47.466:E005.05.11.161 A4
N045.43.24.688:E005.05.14.815 A5
N045.43.09.045:E005.05.17.152 A6
N045.42.56.723:E005.05.18.612 A8
N045.42.40.250:E005.05.20.266 A9
N045.43.05.789:E005.05.29.806 Y
N045.43.04.193:E005.05.13.063 S6
N045.44.42.055:E005.05.01.377 T
N045.44.30.832:E005.04.57.575 T
N045.44.18.611:E005.04.56.244 T
N045.43.59.656:E005.04.58.525 T
N045.43.38.581:E005.05.01.187 T
N045.43.23.045:E005.05.02.923 T
N045.43.16.021:E005.05.03.799 T
N045.43.03.252:E005.05.05.259 T
N045.42.57.505:E005.05.06.232 T
N045.42.48.346:E005.05.06.956 T
N045.42.40.958:E005.05.09.447 T
N045.42.48.346:E005.05.06.956 T
N045.42.40.958:E005.05.09.447 T
N045.43.48.356:E005.04.58.236 TN1
N045.43.45.218:E005.04.58.685 TN2
N045.43.42.112:E005.04.59.033 TN3
N045.43.24.034:E005.05.01.226 TB
N045.43.21.256:E005.05.01.376 TC
N045.43.10.566:E005.05.00.778 TD
N045.43.07.877:E005.05.03.363 K1
N045.43.05.303:E005.05.03.799 K3
N045.43.00.736:E005.05.03.823 TL
N045.43.00.621:E005.04.55.568 TL
N045.42.50.811:E005.05.02.959 TJ
N045.42.51.449:E005.04.53.833 TJ
N045.43.15.996:E005.04.58.372 R1
N045.43.06.393:E005.04.54.400 R2
N045.42.56.688:E005.04.48.949 R3
N045.42.52.142:E005.04.43.186 R4
N045.42.37.787:E005.05.11.314 TM
N045.42.28.939:E005.05.09.931 TM
N045.42.22.554:E005.05.09.444 TM
N045.43.50.124:E005.05.01.361 T3
N045.43.33.064:E005.05.03.152 T4
N045.43.26.168:E005.05.04.164 T5
N045.42.52.874:E005.05.08.177 T6
N045.43.11.265:E005.05.07.239 A6
N045.42.56.167:E005.05.08.994 A8
N045.43.08.173:E005.05.10.772 S6-N
N045.42.59.699:E005.05.11.809 S6-S
