N045.43.58.395 E004.56.18.006 N11
N045.43.58.244 E004.56.17.174 N12
N045.43.52.750 E004.56.05.160 N31
N045.43.51.730 E004.56.12.494 N32
N045.43.48.596 E004.56.11.427 N33
N045.43.48.388 E004.56.10.335 N34
N045.43.59.199 E004.56.17.629 C72
N045.43.59.058 E004.56.16.849 C71
N045.43.57.728 E004.56.18.277 C62
N045.43.57.592 E004.56.17.465 C61
N045.43.56.188 E004.56.18.942 C52
N045.43.56.052 E004.56.18.131 C51
N045.43.54.481 E004.56.19.587 C45
N045.43.54.284 E004.56.18.589 C44
N045.43.54.103 E004.56.17.569 C43
N045.43.53.937 E004.56.16.654 C42
N045.43.53.771 E004.56.15.801 C41
N045.43.52.699 E004.56.20.232 C34
N045.43.52.502 E004.56.19.130 C33
N045.43.52.261 E004.56.17.944 C32
N045.43.52.019 E004.56.16.779 C31
N045.43.50.201 E004.56.21.179 C23
N045.43.49.899 E004.56.19.592 C22
N045.43.49.545 E004.56.18.241 C21
N045.43.47.657 E004.56.22.428 C13
N045.43.47.638 E004.56.21.830 C12
N045.43.47.393 E004.56.21.310 C11
N045.43.56.909 E004.56.18.631 D62
N045.43.56.758 E004.56.17.799 D61
N045.43.55.455 E004.56.19.229 D52
N045.43.55.285 E004.56.18.449 D51
N045.43.53.775 E004.56.19.905 D45
N045.43.53.567 E004.56.18.917 D44
N045.43.53.359 E004.56.17.877 D43
N045.43.53.170 E004.56.16.941 D42
N045.43.53.001 E004.56.16.161 D41
N045.43.51.641 E004.56.20.686 D34
N045.43.51.415 E004.56.19.619 D33
N045.43.51.131 E004.56.18.397 D32
N045.43.50.924 E004.56.17.227 D31
N045.43.49.130 E004.56.21.596 D23
N045.43.48.809 E004.56.20.035 D22
N045.43.48.507 E004.56.18.657 D21
N045.43.46.449 E004.56.22.922 D13
N045.43.46.204 E004.56.22.428 D12
N045.43.46.222 E004.56.21.752 D11
N045.43.40.390 E004.56.21.265 E51
N045.43.41.088 E004.56.20.979 E52
N045.43.41.749 E004.56.20.693 E53
N045.43.42.391 E004.56.20.433 E54
N045.43.39.276 E004.56.23.556 R15
N045.43.39.107 E004.56.22.840 R13
N045.43.38.938 E004.56.22.075 R11
N045.43.38.213 E004.56.24.038 R25
N045.43.38.068 E004.56.23.273 R23
N045.43.37.886 E004.56.22.524 R21
N045.43.37.174 E004.56.24.471 R35
N045.43.37.029 E004.56.23.722 R33
N045.43.36.871 E004.56.22.940 R31
N045.43.36.134 E004.56.24.920 R45
N045.43.35.989 E004.56.24.155 R43
N045.43.35.881 E004.56.23.423 R41
N045.43.35.011 E004.56.24.554 R53
N045.43.34.866 E004.56.23.805 R51
N045.43.33.996 E004.56.25.004 S63
N045.43.33.826 E004.56.24.288 S61
N045.43.33.162 E004.56.26.052 S75
N045.43.33.041 E004.56.25.403 S73
N045.43.32.872 E004.56.24.654 S71
N045.43.39.711 E004.56.23.356 R26
N045.43.39.518 E004.56.22.640 R24
N045.43.39.385 E004.56.21.875 R22
N045.43.38.660 E004.56.23.789 R36
N045.43.38.503 E004.56.23.090 R34
N045.43.38.406 E004.56.22.291 R32
N045.43.37.633 E004.56.24.255 R46
N045.43.37.488 E004.56.23.506 R44
N045.43.37.379 E004.56.22.740 R42
N045.43.36.618 E004.56.24.671 R56
N045.43.36.485 E004.56.23.955 R54
N045.43.36.316 E004.56.23.173 R52
N045.43.35.458 E004.56.24.371 R64
N045.43.35.325 E004.56.23.656 R62
N045.43.34.418 E004.56.24.804 R74
N045.43.34.298 E004.56.24.055 R72
N045.43.33.621 E004.56.25.786 R75
N045.43.33.500 E004.56.25.220 R73
N045.43.33.331 E004.56.24.404 R71
N045.43.35.131 E004.56.27.384 F1
N045.43.34.757 E004.56.27.533 F3
N045.43.41.066 E004.56.26.054 PRKG G
N045.43.34.170 E004.56.22.549 H07
N045.43.37.710 E004.56.20.823 H05
N045.43.39.296 E004.56.20.162 B03
N045.43.51.148 E004.56.15.576 H02
N045.43.53.956 E004.56.14.438 H04
N045.43.56.056 E004.56.15.478 H06
N045.43.57.000 E004.56.13.398 H08
N045.43.50.888 E004.56.06.799 H14
N045.43.48.268 E004.56.08.782 B14
N045.43.49.047 E004.56.17.006 Terminal
