N045.43.55.629 E004.56.31.751 16
N045.43.19.782 E004.56.46.888 34
N045.44.02.427 E004.56.23.899 A1
N045.43.49.098 E004.56.29.851 A2
N045.43.38.971 E004.56.33.819 A3
N045.43.10.408 E004.56.46.218 A4
N045.43.38.452 E004.56.43.863 A5
N045.43.54.983 E004.56.20.800 T1
N045.43.40.667 E004.56.28.463 T2
N045.43.21.174 E004.56.38.417 T3
N045.43.43.228 E004.56.23.279 TA
N045.43.36.830 E004.56.27.830 TB
N045.43.33.767 E004.56.29.227 TC
N045.43.59.031 E004.56.10.504 TN
N045.44.00.165 E004.56.16.192 TN
N045.44.01.526 E004.56.15.745 TN2
N045.43.45.842 E004.56.22.490 TC1
N045.43.48.451 E004.56.21.352 TC2
N045.43.50.749 E004.56.20.377 TC3
N045.43.53.074 E004.56.19.402 TC4
N045.43.54.493 E004.56.17.411 TC5
N045.43.56.450 E004.56.18.264 TC6
N045.43.58.009 E004.56.17.614 TC7
N045.43.39.905 E004.56.22.913 TR1
N045.43.38.889 E004.56.23.329 TR2
N045.43.37.858 E004.56.23.787 TR3
N045.43.36.783 E004.56.24.244 TR4
N045.43.35.607 E004.56.23.953 TR5
N045.43.34.590 E004.56.24.369 TR6
N045.43.33.603 E004.56.24.764 TS7
N045.43.32.906 E004.56.25.784 TS8
N045.43.44.127 E004.56.40.986 HEL
N045.43.27.791 E004.56.31.742 H
