
COLOR_GrasSurface          
N043.33.11.495 E006.56.55.956
N043.33.08.930 E006.56.56.417
N043.33.05.754 E006.56.56.965
N043.33.04.530 E006.56.57.188
N043.33.03.712 E006.56.57.320
N043.33.03.311 E006.56.57.397
N043.33.03.004 E006.56.57.452
N043.33.02.701 E006.56.57.494
N043.33.02.349 E006.56.57.546
N043.33.02.071 E006.56.57.573
N043.33.02.011 E006.56.57.529
N043.33.01.838 E006.56.57.471
N043.33.01.552 E006.56.57.391
N043.33.01.301 E006.56.57.345
N043.33.00.883 E006.56.57.350
N043.33.00.490 E006.56.57.414
N043.32.59.875 E006.56.57.523
N043.32.59.208 E006.56.57.633
N043.32.56.716 E006.56.58.078
N043.32.54.230 E006.56.58.527
N043.32.52.159 E006.56.58.895
N043.32.51.609 E006.56.59.000
N043.32.51.379 E006.56.59.018
N043.32.51.102 E006.56.59.004
N043.32.49.476 E006.56.58.857
N043.32.48.428 E006.56.58.762
N043.32.47.667 E006.56.58.672
N043.32.47.289 E006.56.58.632
N043.32.46.947 E006.56.58.610
N043.32.46.509 E006.56.58.586
N043.32.45.962 E006.56.58.575
N043.32.45.722 E006.56.58.567
N043.32.45.460 E006.56.58.558
N043.32.45.076 E006.56.58.562
N043.32.44.733 E006.56.58.574
N043.32.44.408 E006.56.58.600
N043.32.43.956 E006.56.58.646
N043.32.43.680 E006.56.58.664
N043.32.43.515 E006.56.58.683
N043.32.43.369 E006.56.58.677
N043.32.43.309 E006.56.59.041
N043.32.43.269 E006.56.59.392
N043.32.43.283 E006.56.59.683
N043.32.43.357 E006.57.00.089
N043.32.42.207 E006.57.00.277
N043.32.39.313 E006.57.00.770
N043.32.35.304 E006.57.01.495
N043.32.33.044 E006.57.01.856
N043.32.32.970 E006.57.01.847
N043.32.32.893 E006.57.01.809
N043.32.30.481 E006.56.58.403
N043.32.29.033 E006.56.58.932
N043.32.28.644 E006.56.59.126
N043.32.28.317 E006.56.59.347
N043.32.28.002 E006.56.59.620
N043.32.27.746 E006.56.59.991
N043.32.25.455 E006.57.03.581
N043.32.23.905 E006.57.06.103
N043.32.23.512 E006.57.06.666
N043.32.23.163 E006.57.07.125
N043.32.22.773 E006.57.07.514
N043.32.22.340 E006.57.07.872
N043.32.21.857 E006.57.08.237
N043.32.21.606 E006.57.08.402
N043.32.21.340 E006.57.08.567
N043.32.21.078 E006.57.08.677
N043.32.20.844 E006.57.08.771
N043.32.23.850 E006.57.13.266
