N043.32.57.492 E006.57.09.771 ALPHA
N043.32.57.199 E006.57.27.919 ECHO
N043.32.52.924 E006.57.30.190 GOLF
N043.32.52.938 E006.57.27.030 LIMA
N043.32.47.831 E006.57.19.930 LIMA
N043.32.46.779 E006.57.21.730 MIKE
N043.32.42.004 E006.57.26.858 SIERRA
N043.32.35.466 E006.57.17.707 SIERRA
N043.32.30.470 E006.57.15.273 SIERRA
N043.32.47.547 E006.57.38.438 SIERRA
N043.32.47.032 E006.57.38.412 ECHO
N043.33.12.265 E006.57.09.216 NOVEMBRE
N043.33.11.283 E006.57.09.416 ECHO
N043.32.58.467 E006.57.24.336 H1
N043.32.58.300 E006.57.29.908 H2
N043.32.58.266 E006.57.31.851 H3
N043.32.48.609 E006.57.18.509 H4
N043.32.50.588 E006.57.21.422 H5
N043.32.52.666 E006.57.24.285 H6
N043.32.54.678 E006.57.27.046 H7
N043.32.53.102 E006.57.13.857 H8
N043.32.50.011 E006.57.40.526 H9
N043.32.48.026 E006.57.37.704 H10
N043.32.46.336 E006.57.35.250 H11
N043.32.55.724 E006.57.24.781 H12
N043.33.01.653 E006.57.12.579 H14
N043.33.08.426 E006.57.11.301 H16
N043.32.44.152 E006.57.33.740 Securite
N043.32.43.578 E006.57.33.737 Civile
N043.32.53.172 E006.57.10.711 7.1
N043.32.53.263 E006.57.11.762 7.2
N043.32.51.610 E006.57.10.711 6.1
N043.32.51.681 E006.57.11.601 6.2
N043.32.51.779 E006.57.12.545 6.3
N043.32.49.522 E006.57.11.065 5.1
N043.32.50.162 E006.57.11.483 5.A
N043.32.49.592 E006.57.11.966 5.2
N043.32.50.324 E006.57.12.480 5.B
N043.32.49.726 E006.57.12.941 5.3
N043.32.47.426 E006.57.11.430 4.1
N043.32.48.045 E006.57.11.848 4.A
N043.32.47.511 E006.57.12.330 4.2
N043.32.48.087 E006.57.12.855 4.B
N043.32.47.616 E006.57.13.338 4.3
N043.32.45.345 E006.57.11.816 3.1
N043.32.45.922 E006.57.12.223 3.A
N043.32.45.443 E006.57.12.716 3.2
N043.32.46.013 E006.57.13.231 3.B
N043.32.45.528 E006.57.13.670 3.3
N043.32.43.437 E006.57.12.246 2.1
N043.32.43.966 E006.57.12.589 2.A
N043.32.43.505 E006.57.13.181 2.2
N043.32.44.045 E006.57.13.558 2.B
N043.32.43.595 E006.57.14.098 2.3
N043.32.41.660 E006.57.12.520 1.1
N043.32.42.155 E006.57.12.906 1.A
N043.32.41.755 E006.57.13.464 1.2
N043.32.42.262 E006.57.13.884 1.B
N043.32.41.834 E006.57.14.416 1.3
