N043.32.07.000 E007.08.42.000 SB
N043.29.20.000 E007.02.49.000 SA
N043.26.09.000 E006.56.06.000 SW
N043.23.54.000 E006.51.20.000 DR
N043.35.09.000 E006.59.52.000 LC
N043.45.00.000 E007.11.20.000 NA
N043.40.01.000 E007.08.44.000 WA
N043.39.36.000 E006.58.48.000 EW
N043.37.58.000 E006.51.11.000 N
N043.31.16.000 E006.48.24.000 WD
N043.33.14.000 E006.47.38.000 WL
N043.32.35.000 E006.58.06.000 HE
N043.31.32.000 E007.01.00.000 HV
N043.32.16.000 E006.57.31.000 HW
N043.30.27.000 E007.01.54.000 SV
N043.32.22.000 E007.04.40.000 PF
N043.32.12.000 E007.00.06.000 TA
N043.30.20.000 E006.59.40.000 TD
