N043.33.11.509 E006.56.59.717 17
N043.32.36.165 E006.57.06.019 35
N043.32.57.332 E006.57.06.019 17L
N043.32.40.985 E006.57.08.895 35R
N043.32.38.607 E006.57.15.372 04
N043.32.52.827 E006.57.35.105 22
N043.33.15.763 E006.57.03.842 A1
N043.33.14.168 E006.57.04.209 A2
N043.33.00.201 E006.57.06.585 A3
N043.32.39.112 E006.57.10.373 A5
N043.32.37.694 E006.57.09.125 A6
N043.32.24.928 E006.57.12.470 A7
N043.32.54.654 E006.57.34.912 B1
N043.32.48.691 E006.57.26.717 B2
N043.32.38.084 E006.57.11.752 B5
N043.32.36.434 E006.57.10.131 B6
N043.32.52.515 E006.57.37.989 C1
N043.32.47.390 E006.57.29.394 C2
N043.32.38.477 E006.57.17.652 C3
N043.32.34.914 E006.57.13.283 C5
N043.32.56.564 E006.57.34.550 EB
N043.32.46.658 E006.57.31.740 F
N043.32.50.444 E006.57.36.385 F
N043.33.18.744 E006.57.02.341 P1
N043.33.16.392 E006.57.02.760 P2
N043.32.41.333 E006.57.14.253 R
N043.32.29.078 E006.57.13.378 V
N043.33.07.738 E006.57.07.664 WB
N043.33.02.159 E006.57.08.763 WE
N043.32.43.119 E006.57.11.142 W
N043.32.51.450 E006.57.09.704 W
N043.32.58.292 E006.57.08.180 W
N043.33.11.254 E006.57.05.870 W
N043.32.55.450 E006.57.33.789 YA
N043.32.49.548 E006.57.25.708 YB
N043.32.44.312 E006.57.18.346 YC
N043.32.52.317 E006.57.30.582 Y
N043.32.46.308 E006.57.22.240 Y
N043.32.42.467 E006.57.16.940 Y
N043.32.40.020 E006.57.13.570 Y
N043.32.59.059 E006.57.03.607 X
N043.32.59.334 E006.57.05.345 X
N043.32.59.389 E006.57.06.769 X
