N043.32.19.459 E004.54.53.169 G
N043.32.14.488 E004.54.56.605 F
N043.32.08.315 E004.55.11.695 T
N043.31.52.272 E004.55.11.592 E
N043.31.19.845 E004.56.51.250 C4
N043.31.56.746 E004.55.22.203 E1
N043.31.37.544 E004.55.35.175 T
N043.31.24.406 E004.55.30.582 D
N043.31.18.192 E004.55.51.929 C2
N043.31.07.218 E004.55.42.685 C
N043.31.05.124 E004.56.05.200 C1
N043.31.04.434 E004.56.21.449 S
N043.31.03.719 E004.56.34.546 W
N043.30.55.292 E004.56.02.524 T
N043.30.43.990 E004.55.58.532 B
N043.30.52.416 E004.56.16.550 Y
N043.30.48.636 E004.56.26.813 B1
N043.30.47.083 E004.56.50.340 C3
N043.30.30.961 E004.55.42.835 L
N043.30.22.676 E004.55.50.829 M
N043.30.20.799 E004.55.59.415 N
N043.30.32.127 E004.56.07.013 A
N043.30.37.758 E004.56.20.435 A2
N043.30.29.602 E004.56.27.737 A1
N043.30.28.372 E004.56.37.409 H
N043.31.24.653 E004.55.38.504 H
N043.32.12.265 E004.54.30.440 J
N043.32.14.770 E004.54.45.873 X
N043.32.14.270 E004.54.44.509 X
N043.32.13.152 E004.54.41.525 X
N043.30.58.235 E004.55.30.505 K
N043.30.56.968 E004.55.41.193 X
N043.30.57.107 E004.55.37.511 X
N043.30.57.246 E004.55.32.253 X
