COLOR_Landmark3
N043.26.58.587 E005.14.07.220
N043.28.40.628 E005.11.35.791
N043.27.01.379 E005.09.17.180
N043.25.21.577 E005.11.52.999

COLOR_Landmark4
N043.26.18.065 E005.11.52.617
N043.26.16.907 E005.11.50.197
N043.26.14.550 E005.11.44.699
N043.26.13.490 E005.11.40.502
N043.26.14.743 E005.11.38.991
N043.26.10.434 E005.11.33.816
N043.26.05.969 E005.11.28.102
N043.25.59.859 E005.11.22.496
N043.25.48.507 E005.11.10.691
N043.25.39.400 E005.11.25.032
N043.25.39.686 E005.11.27.280
N043.25.39.305 E005.11.33.067
N043.25.37.013 E005.11.35.961
N043.25.38.351 E005.11.39.248
N043.25.40.835 E005.11.43.456
N043.25.40.072 E005.11.50.163
N043.25.36.825 E005.11.50.690
N043.25.31.573 E005.11.51.086
N043.25.22.714 E005.11.50.631
N043.24.22.116 E005.13.30.452
N043.25.56.372 E005.15.39.608
N043.27.18.822 E005.13.37.499
N043.27.14.651 E005.13.36.849
N043.27.10.379 E005.13.35.417
N043.27.07.089 E005.13.31.441
N043.27.02.991 E005.13.24.919
N043.26.58.518 E005.13.16.638
N043.26.54.725 E005.13.09.758
N043.26.50.316 E005.13.00.066
N043.26.48.685 E005.12.55.218
N043.26.47.962 E005.12.51.911
N043.26.47.837 E005.12.48.750
N043.26.47.659 E005.12.46.967
N043.26.46.796 E005.12.45.918
N043.26.45.578 E005.12.45.184
N043.26.44.029 E005.12.43.506
N043.26.42.354 E005.12.42.073
N043.26.41.364 E005.12.40.464
N043.26.40.062 E005.12.37.821
N043.26.39.316 E005.12.35.229
N043.26.21.290 E005.12.01.958

COLOR_Terrain5
N043.26.31.503 E005.12.16.371
N043.26.31.317 E005.12.16.127
N043.26.31.012 E005.12.15.383
N043.26.30.619 E005.12.14.747
N043.26.30.147 E005.12.14.314
N043.26.29.902 E005.12.13.881
N043.26.29.892 E005.12.13.259
N043.26.30.304 E005.12.12.230
N043.26.31.352 E005.12.09.565
N043.26.31.480 E005.12.09.129
N043.26.31.432 E005.12.08.579
N043.26.31.175 E005.12.08.017
N043.26.30.225 E005.12.06.918
N043.26.29.646 E005.12.06.630
N043.26.29.275 E005.12.06.656
N043.26.28.914 E005.12.06.957
N043.26.28.449 E005.12.07.298
N043.26.27.993 E005.12.07.285
N043.26.26.521 E005.12.06.059
N043.26.25.680 E005.12.04.998
N043.26.24.756 E005.12.04.102
N043.26.23.489 E005.12.02.735
N043.26.22.273 E005.12.00.850
N043.26.21.284 E005.11.58.391
N043.26.21.637 E005.11.57.418
N043.26.19.871 E005.11.55.650
N043.26.17.960 E005.11.52.047
N043.26.10.187 E005.12.00.553
N043.26.06.896 E005.12.04.703
N043.25.57.911 E005.12.17.148
N043.25.54.261 E005.12.22.401
N043.25.52.462 E005.12.25.158
N043.25.51.562 E005.12.26.957
N043.25.51.040 E005.12.28.915
N043.25.46.049 E005.12.30.354
N043.25.45.148 E005.12.30.690
N043.25.44.356 E005.12.31.146
N043.25.43.968 E005.12.31.820
N043.25.43.780 E005.12.32.554
N043.25.43.593 E005.12.33.802
N043.25.43.306 E005.12.36.043
N043.25.42.869 E005.12.42.590
N043.25.42.732 E005.12.47.368
N043.25.42.553 E005.12.52.289
N043.25.43.295 E005.12.59.114
N043.25.36.707 E005.13.09.394
N043.25.32.877 E005.13.16.316
N043.25.30.243 E005.13.22.083
N043.25.29.106 E005.13.25.050
N043.25.28.567 E005.13.28.428
N043.25.28.447 E005.13.32.466
N043.25.28.734 E005.13.49.697
N043.25.28.838 E005.13.52.363
N043.25.29.021 E005.13.53.553
N043.25.29.444 E005.13.54.490
N043.25.29.885 E005.13.55.047
N043.25.30.621 E005.13.55.478
N043.25.31.467 E005.13.55.630
N043.25.32.276 E005.13.55.529
N043.25.37.085 E005.13.53.221
N043.25.40.570 E005.13.52.004
N043.25.43.369 E005.13.51.391
N043.25.44.466 E005.13.51.265
N043.25.45.400 E005.13.51.056
N043.25.46.518 E005.13.50.329
N043.25.59.845 E005.13.39.869
N043.25.57.916 E005.13.35.507
N043.26.05.232 E005.13.24.842
N043.26.31.644 E005.13.06.726
N043.26.43.634 E005.12.58.782
N043.26.40.278 E005.12.50.478
N043.26.35.153 E005.12.38.328
N043.26.39.324 E005.12.35.268
N043.26.39.153 E005.12.34.787
N043.26.39.180 E005.12.34.542
N043.26.39.071 E005.12.33.995
N043.26.38.315 E005.12.31.965
N043.26.38.230 E005.12.31.701
N043.26.38.142 E005.12.31.560
N043.26.37.968 E005.12.31.407
N043.26.37.860 E005.12.31.198
N043.26.37.786 E005.12.30.923
N043.26.37.765 E005.12.30.728
N043.26.37.773 E005.12.30.570
N043.26.37.799 E005.12.30.430
N043.26.37.840 E005.12.30.308
N043.26.37.919 E005.12.30.174
N043.26.38.043 E005.12.29.966
N043.26.38.272 E005.12.29.603
N043.27.03.892 E005.11.53.258
N043.26.55.649 E005.11.42.366
N043.26.31.759 E005.12.16.398

COLOR_Terrain6
N043.26.03.729 E005.13.23.020
N043.26.03.953 E005.13.22.971
N043.26.04.162 E005.13.22.993
N043.26.04.433 E005.13.23.101
N043.26.04.602 E005.13.23.231
N043.26.04.744 E005.13.23.393
N043.26.04.878 E005.13.23.653
N043.26.05.003 E005.13.24.022
N043.26.05.858 E005.13.23.000
N043.26.05.265 E005.13.22.595
N043.26.05.157 E005.13.22.478
N043.26.05.055 E005.13.22.338
N043.26.05.011 E005.13.22.138
N043.26.05.052 E005.13.21.899
N043.26.07.125 E005.13.20.148
N043.26.07.238 E005.13.20.180
N043.26.07.329 E005.13.20.260
N043.26.07.425 E005.13.20.420
N043.26.07.853 E005.13.21.330
N043.26.08.273 E005.13.21.000
N043.26.07.822 E005.13.20.053
N043.26.07.750 E005.13.19.797
N043.26.07.771 E005.13.19.686
N043.26.07.858 E005.13.19.534
N043.26.09.118 E005.13.18.550
N043.26.09.156 E005.13.18.565
N043.26.09.225 E005.13.18.658
N043.26.09.716 E005.13.19.796
N043.26.10.121 E005.13.19.480
N043.26.09.622 E005.13.18.303
N043.26.09.605 E005.13.18.228
N043.26.09.602 E005.13.18.173
N043.26.10.965 E005.13.17.058
N043.26.11.113 E005.13.17.013
N043.26.11.202 E005.13.17.027
N043.26.11.244 E005.13.17.176
N043.26.11.791 E005.13.18.475
N043.26.11.833 E005.13.18.640
N043.26.11.833 E005.13.18.820
N043.26.13.055 E005.13.20.699
N043.26.11.648 E005.13.23.535
N043.26.12.730 E005.13.25.587
N043.26.13.105 E005.13.26.210
N043.26.13.839 E005.13.25.549
N043.26.13.914 E005.13.25.535
N043.26.14.017 E005.13.25.564
N043.26.13.990 E005.13.24.874
N043.26.14.136 E005.13.18.847
N043.26.11.857 E005.13.16.108
N043.26.10.798 E005.13.16.446
N043.26.02.852 E005.13.22.695
N043.26.01.577 E005.13.24.486
N043.26.02.267 E005.13.24.969
N043.26.03.524 E005.13.23.157

COLOR_Terrain6
N043.26.05.822 E005.13.22.973
N043.26.04.987 E005.13.23.966
N043.26.05.002 E005.13.24.182
N043.26.04.962 E005.13.24.516
N043.26.04.879 E005.13.24.759
N043.26.03.490 E005.13.26.692
N043.26.03.310 E005.13.26.833
N043.26.03.153 E005.13.26.865
N043.26.02.971 E005.13.26.841
N043.26.02.220 E005.13.27.826
N043.26.02.197 E005.13.28.042
N043.26.02.128 E005.13.28.250
N043.26.02.005 E005.13.28.416
N043.26.00.412 E005.13.29.795
N043.26.00.750 E005.13.30.476
N043.25.58.641 E005.13.33.444
N043.25.58.339 E005.13.33.803
N043.25.58.887 E005.13.34.986
N043.25.58.732 E005.13.35.196
N043.25.59.768 E005.13.36.558
