N043.26.57.692 E005.11.58.715 C1
N043.26.47.434 E005.12.09.238 D1
N043.26.42.392 E005.12.20.736 C2
N043.26.33.822 E005.12.27.506 D2
N043.26.33.707 E005.12.35.300 C3
N043.26.28.309 E005.12.35.618 D3
N043.26.23.286 E005.12.50.158 C4
N043.26.26.392 E005.12.39.710 D4
N043.26.17.785 E005.13.09.136 C5
N043.26.08.136 E005.13.18.110 C6
N043.26.00.029 E005.13.16.394 D6
N043.25.58.197 E005.13.26.054 C7
N043.25.51.114 E005.13.28.963 D7
N043.25.49.609 E005.13.38.117 C8
N043.25.42.342 E005.13.41.020 D8
N043.25.40.152 E005.13.44.296 D9
N043.25.58.722 E005.13.36.928 B7
N043.26.30.898 E005.12.42.195 G1
N043.26.26.440 E005.12.48.406 G2
N043.26.24.810 E005.13.00.829 G3
N043.26.20.497 E005.13.07.406 G4
N043.26.16.221 E005.13.13.435 G5
N043.26.12.827 E005.13.16.467 G6
N043.25.51.769 E005.13.41.243 X
N043.25.58.890 E005.13.34.028 X
N043.26.09.828 E005.13.19.152 X
N043.26.07.931 E005.13.20.779 X
N043.26.05.204 E005.13.23.008 X
N043.25.58.722 E005.13.29.154 X
N043.25.54.274 E005.13.35.269 X
N043.25.45.686 E005.13.47.860 X
N043.26.08.062 E005.12.11.499 X
N043.26.35.567 E005.12.51.077 L2
N043.26.37.910 E005.13.01.044 L3
N043.26.42.110 E005.13.01.572 L4
N043.26.30.371 E005.12.20.199 E2
N043.26.25.386 E005.12.27.360 E3
N043.25.46.345 E005.13.19.888 E7
N043.25.35.248 E005.13.34.453 E9
N043.25.54.949 E005.12.45.848 F7
N043.25.44.691 E005.13.07.040 F7
N043.26.20.401 E005.12.14.791 F3
N043.26.16.087 E005.12.13.184 F3
N043.26.08.705 E005.12.23.560 F3
N043.26.00.686 E005.12.36.117 H
N043.26.01.648 E005.12.29.190 H1
N043.26.01.151 E005.12.25.283 H2
N043.26.00.690 E005.12.21.962 H3
N043.25.58.244 E005.12.21.815 H4
