N043.38.59.973 E007.12.37.917 1
N043.39.00.575 E007.12.38.703 2
N043.39.01.176 E007.12.39.490 3
N043.39.01.757 E007.12.40.407 4
N043.39.02.337 E007.12.41.095 5
N043.39.02.832 E007.12.41.816 6
N043.39.03.347 E007.12.42.603 7
N043.39.03.906 E007.12.43.389 8
N043.39.04.465 E007.12.44.176 9
N043.39.04.981 E007.12.44.930 10
N043.39.05.540 E007.12.45.585 11
N043.39.06.120 E007.12.46.437 12
N043.39.06.916 E007.12.47.551 13
N043.39.07.797 E007.12.48.764 14
N043.40.00.281 E007.13.11.528 1B
N043.40.00.547 E007.13.11.868 1C
N043.40.00.876 E007.13.12.339 1D
N043.40.01.495 E007.13.13.165 1E
N043.40.01.796 E007.13.13.597 1F
N043.40.02.096 E007.13.13.983 1G
N043.40.02.692 E007.13.14.825 1H
N043.40.02.947 E007.13.15.196 1J
N043.40.03.220 E007.13.15.653 1Q
N043.39.59.198 E007.13.01.343 2A
N043.39.57.793 E007.12.58.553 2B
N043.39.57.504 E007.12.59.665 2L
N043.39.58.445 E007.13.02.018 2L
N043.39.58.499 E007.12.59.692 2C
N043.39.56.700 E007.12.58.653 6A
N043.39.56.071 E007.12.57.987 6B
N043.39.55.477 E007.12.57.135 6C
N043.39.54.377 E007.12.55.697 8A
N043.39.53.276 E007.12.54.259 8C
N043.39.52.228 E007.12.52.687 10A
N043.39.51.669 E007.12.51.888 10B
N043.39.51.319 E007.12.50.397 10C
N043.39.51.459 E007.12.49.038 12A
N043.39.51.302 E007.12.47.467 12B
N043.39.50.586 E007.12.46.322 12C
N043.39.51.005 E007.12.44.857 14A
N043.39.50.952 E007.12.43.152 14B
N043.39.50.009 E007.12.42.114 14C
N043.39.50.009 E007.12.41.102 16A
N043.39.50.690 E007.12.39.823 16B
N043.39.49.799 E007.12.38.838 16C
N043.39.50.201 E007.12.36.787 18A
N043.39.49.992 E007.12.34.417 18C
N043.39.49.660 E007.12.31.434 20
N043.39.49.450 E007.12.29.329 22
N043.39.49.188 E007.12.27.172 24A
N043.39.49.411 E007.12.23.659 24C
N043.39.49.220 E007.12.25.456 24D
N043.39.48.739 E007.12.22.002 26A
N043.39.47.848 E007.12.21.778 26
N043.39.47.894 E007.12.19.793 26R
N043.39.47.058 E007.12.19.931 28A
N043.39.45.454 E007.12.19.528 28
N043.39.45.310 E007.12.21.845 40A
N043.39.44.855 E007.12.23.683 40B
N043.39.43.877 E007.12.24.216 40C
N043.39.56.904 E007.13.07.877 31
N043.39.56.136 E007.13.06.625 33D
N043.39.55.245 E007.13.06.439 33B
N043.39.55.507 E007.13.05.533 33E
N043.39.54.755 E007.13.04.627 35D
N043.39.53.847 E007.13.04.201 35B
N043.39.54.196 E007.13.03.429 35E
N043.39.53.725 E007.13.02.763 35C
N043.39.53.270 E007.13.02.736 37D
N043.39.52.624 E007.13.02.417 37B
N043.39.53.078 E007.13.01.538 37A
N043.39.52.467 E007.13.00.979 37E
N043.39.52.048 E007.13.00.473 39D
N043.39.51.296 E007.13.00.180 39A
N043.39.51.419 E007.12.59.407 39E
N043.39.50.475 E007.12.59.354 39B
N043.39.50.895 E007.12.58.662 39C
N043.39.50.423 E007.12.58.049 39F
N043.39.47.526 E007.12.54.258 61D
N043.39.46.735 E007.12.54.175 61A
N043.39.46.886 E007.12.53.574 61B
N043.39.46.068 E007.12.54.026 61E
N043.39.46.714 E007.12.52.208 61C
N043.39.46.225 E007.12.51.569 61F
N043.39.45.788 E007.12.50.796 63D
N043.39.44.464 E007.12.51.731 63A
N043.39.44.140 E007.12.50.325 63B
N043.39.45.106 E007.12.49.901 63E
N043.39.44.627 E007.12.49.260 63C
N043.39.44.135 E007.12.48.620 63F
N043.39.43.640 E007.12.47.973 65D
N043.39.42.302 E007.12.48.829 65A
N043.39.42.613 E007.12.47.746 65B
N043.39.42.926 E007.12.46.945 65E
N043.39.42.481 E007.12.46.335 65C
N043.39.42.007 E007.12.45.702 65F
N043.39.41.234 E007.12.45.376 67D
N043.39.40.173 E007.12.45.907 67A
N043.39.40.510 E007.12.44.776 67B
N043.39.40.711 E007.12.44.050 67E
N043.39.40.278 E007.12.43.472 67C
N043.39.39.814 E007.12.42.866 67F
N043.39.39.342 E007.12.42.007 69D
N043.39.38.033 E007.12.42.962 69A
N043.39.38.376 E007.12.41.851 69B
N043.39.38.561 E007.12.41.203 69E
N043.39.37.898 E007.12.40.853 69C
N043.39.37.466 E007.12.40.309 69F
N043.39.45.893 E007.12.44.659 5
N043.39.44.845 E007.12.43.185 7
N043.39.43.692 E007.12.41.761 9
N043.39.42.731 E007.12.40.239 11
N043.39.45.561 E007.12.40.022 13
N043.39.44.286 E007.12.41.253 15
N043.39.45.055 E007.12.41.374 17
N043.39.39.577 E007.12.33.668 25D
N043.39.40.006 E007.12.33.505 25A
N043.39.40.471 E007.12.33.418 23B
N043.39.40.916 E007.12.33.345 23A
N043.39.41.783 E007.12.32.922 23D
N043.39.42.188 E007.12.34.021 21D
N043.39.43.000 E007.12.33.737 21A
N043.39.43.859 E007.12.33.478 19E
N043.39.44.253 E007.12.32.512 19B
N043.39.44.809 E007.12.32.322 19D
N043.39.45.276 E007.12.32.121 19A
N043.39.41.953 E007.12.24.691 42
N043.39.40.126 E007.12.25.060 44
N043.39.39.230 E007.12.26.160 46A
N043.39.39.160 E007.12.24.189 46B
N043.39.37.326 E007.12.25.947 46C
N043.39.36.129 E007.12.26.503 48A
N043.39.35.889 E007.12.24.472 48B
N043.39.34.098 E007.12.26.603 48C
N043.39.33.356 E007.12.25.771 50A
N043.39.33.596 E007.12.23.873 50B
N043.39.31.631 E007.12.24.206 50C
N043.39.31.260 E007.12.23.007 52A
N043.39.31.784 E007.12.21.309 52B
