N043.32.06.900 E007.08.42.400 SB
N043.29.20.000 E007.02.49.000 SA
N043.45.00.000 E007.30.40.000 E
N043.45.00.000 E007.11.20.000 NA
N043.40.01.100 E007.08.43.700 WA
N043.38.13.900 E007.18.09.000 TE
N043.35.20.000 E007.13.40.200 TS
N043.39.36.000 E006.58.48.000 EW
N043.41.51.000 E007.11.12.000 NB
N043.40.06.000 E007.11.50.000 WN
N043.42.05.000 E007.25.37.000 EC
N043.39.17.000 E007.20.44.000 EA
N043.38.28.742 E007.14.46.504 HE
N043.37.45.300 E007.13.33.200 HS
N043.36.26.000 E007.15.22.200 HY
N043.37.04.500 E007.16.21.600 HZ
N043.38.19.200 E007.16.26.900 PE
N043.37.25.700 E007.14.57.500 PX
N043.36.35.100 E007.13.36.500 PS
