

COLOR_GrasSurface
N042.44.27.467 E002.51.54.920
N042.44.27.344 E002.51.54.586
N042.44.27.208 E002.51.54.279
N042.44.27.039 E002.51.53.924
N042.44.26.913 E002.51.53.696
N042.44.26.743 E002.51.53.450
N042.44.26.517 E002.51.53.139
N042.44.26.280 E002.51.52.857
N042.44.25.754 E002.51.52.322
N042.44.25.007 E002.51.51.898
N042.44.24.337 E002.51.51.702
N042.44.24.028 E002.51.51.680
N042.44.23.804 E002.51.51.699
N042.44.22.875 E002.51.51.833
N042.44.22.755 E002.51.51.872
N042.44.22.203 E002.51.52.150
N042.44.22.079 E002.51.52.228
N042.44.21.983 E002.51.52.336
N042.44.21.890 E002.51.52.476
N042.44.13.668 E002.52.06.892
N042.44.13.267 E002.52.07.545
N042.44.13.069 E002.52.07.840
N042.44.12.918 E002.52.08.033
N042.44.12.773 E002.52.08.209
N042.44.12.577 E002.52.08.385
N042.44.12.360 E002.52.08.564
N042.44.12.043 E002.52.08.788
N042.44.07.285 E002.52.12.034
N042.44.04.914 E002.52.13.488
N042.44.04.699 E002.52.13.666
N042.44.03.630 E002.52.14.574
N042.44.03.551 E002.52.14.651
N042.44.03.489 E002.52.14.744
N042.43.58.801 E002.52.22.995
N042.43.58.755 E002.52.23.054
N042.43.58.703 E002.52.23.099
N042.43.58.646 E002.52.23.140
N042.43.58.572 E002.52.23.170
N042.43.58.500 E002.52.23.179
N042.43.58.432 E002.52.23.178
N042.43.58.362 E002.52.23.151
N042.43.58.300 E002.52.23.107
N042.43.57.056 E002.52.21.809
N042.43.56.968 E002.52.21.736
N042.43.56.891 E002.52.21.711
N042.43.56.789 E002.52.21.707
N042.43.56.688 E002.52.21.734
N042.43.56.614 E002.52.21.784
N042.43.56.519 E002.52.21.866
N042.43.54.563 E002.52.24.615
N042.43.53.408 E002.52.26.216
N042.43.51.513 E002.52.28.874
N042.43.50.204 E002.52.30.770
N042.43.47.697 E002.52.35.106
N042.43.46.800 E002.52.36.984
N042.43.46.672 E002.52.37.263
N042.43.46.608 E002.52.37.449
N042.43.46.588 E002.52.37.620
N042.43.46.576 E002.52.37.797
N042.43.46.584 E002.52.37.942
N042.43.46.632 E002.52.38.100
N042.43.46.721 E002.52.38.225
N042.43.48.685 E002.52.40.128
N042.43.49.698 E002.52.41.113
N042.43.49.803 E002.52.41.259
N042.43.49.892 E002.52.41.401
N042.43.49.968 E002.52.41.560
N042.43.50.084 E002.52.41.697
N042.43.51.618 E002.52.43.244
N042.43.51.666 E002.52.43.266
N042.43.51.723 E002.52.43.270
N042.43.51.766 E002.52.43.289
N042.43.53.035 E002.52.44.563
N042.43.54.070 E002.52.45.449
N042.43.54.480 E002.52.45.790
N042.43.54.930 E002.52.46.116
N042.43.55.416 E002.52.46.424
N042.43.55.876 E002.52.46.700
N042.43.56.214 E002.52.46.846
N042.43.56.937 E002.52.47.122
N042.43.57.343 E002.52.47.253
N042.43.57.867 E002.52.47.361
N042.43.58.244 E002.52.47.420
N042.43.59.369 E002.52.47.561
N042.44.01.146 E002.52.47.749
N042.44.04.403 E002.52.48.059
N042.44.06.549 E002.52.48.250
N042.44.06.631 E002.52.48.217
N042.44.17.326 E002.52.39.150
N042.44.23.510 E002.52.33.977
N042.44.23.701 E002.52.33.812
N042.44.23.839 E002.52.33.717
N042.44.24.029 E002.52.33.680
N042.44.30.080 E002.52.32.563
N042.44.30.541 E002.52.32.387
N042.44.31.223 E002.52.31.919
N042.44.31.257 E002.52.31.743
N042.44.31.224 E002.52.29.904
