N042.44.04.610 E002.52.18.020 ACB
N042.43.49.148 E002.52.36.042 Sabena
N042.43.59.114 E002.52.25.152 SAMU
N042.44.36.248 E002.52.01.216 PRKG NORD
N042.44.25.744 E002.52.13.058 P1-A
N042.44.25.920 E002.52.12.178 P1-B
N042.44.25.332 E002.52.09.158 P2-A
N042.44.25.200 E002.52.06.998 P3-A
N042.44.25.523 E002.52.07.778 P3-B
N042.44.24.701 E002.52.03.558 P4-A
N042.44.25.024 E002.52.04.518 P4-B
N042.44.20.985 E002.52.14.698 P5-A
N042.44.21.646 E002.52.13.118 P5-B
N042.44.20.676 E002.52.12.178 P6-A
N042.44.21.455 E002.52.11.038 P6-B
N042.44.20.412 E002.52.10.718 P7-A
N042.44.20.089 E002.52.08.198 P8-A
N042.44.21.278 E002.52.08.338 P8-B
