N042.45.13.875 E002.51.42.833 15
N042.44.11.987 E002.52.34.626 33
N042.44.20.306 E002.52.00.300 13
N042.43.59.785 E002.52.36.633 31
N042.45.13.336 E002.51.38.757 A
N042.45.08.661 E002.51.42.868 B
N042.45.05.066 E002.51.45.198 C
N042.44.57.470 E002.51.50.200 D
N042.44.24.132 E002.52.18.887 G
N042.44.11.175 E002.52.29.275 H
N042.44.54.140 E002.51.50.038 K
N042.44.42.754 E002.51.59.599 K
N042.44.28.659 E002.52.12.316 K
N042.44.21.049 E002.52.18.655 L
N042.44.16.474 E002.52.22.497 L
N042.44.11.329 E002.52.26.869 L
N042.44.10.622 E002.52.12.647 Q
N042.44.08.867 E002.52.25.671 R
N042.44.00.841 E002.52.29.662 T
N042.43.56.354 E002.52.37.600 U
N042.44.08.579 E002.52.14.269 V
N042.44.04.351 E002.52.21.681 V
N042.44.01.273 E002.52.27.163 V
N042.44.26.049 E002.51.55.476 X
N042.44.20.790 E002.52.01.849 X
N042.44.22.049 E002.52.03.151 X
N042.44.27.172 E002.52.15.348 X
N042.44.27.981 E002.52.17.061 X
N042.44.28.746 E002.52.18.568 X
