N043.34.53.235 E003.57.19.117 A1
N043.34.52.321 E003.57.18.220 A2
N043.34.51.536 E003.57.17.413 A3
N043.34.51.437 E003.57.21.024 A4
N043.34.50.866 E003.57.20.261 A5
N043.34.50.313 E003.57.19.596 A6
N043.34.51.437 E003.57.23.367 B1
N043.34.51.233 E003.57.23.846 B2
N043.34.50.610 E003.57.25.221 B3
N043.34.50.401 E003.57.25.718 B4
N043.34.49.708 E003.57.26.845 C1
N043.34.48.852 E003.57.28.522 C2
N043.34.48.055 E003.57.30.119 C3
N043.34.46.295 E003.57.32.468 D1
N043.34.46.313 E003.57.33.105 D2
N043.34.46.931 E003.57.34.547 D3
N043.34.46.786 E003.57.33.507 D4
N043.34.46.349 E003.57.35.476 D5
N043.34.46.468 E003.57.34.006 D6
N043.34.45.804 E003.57.35.587 D7
N043.34.45.331 E003.57.35.961 D8
N043.34.45.022 E003.57.38.263 D9
N043.34.44.285 E003.57.38.096 D10
N043.34.40.957 E003.57.42.408 E1
N043.34.39.749 E003.57.44.609 E2
N043.34.40.426 E003.57.45.307 E3
N043.34.41.058 E003.57.45.973 E4
N043.34.38.963 E003.57.46.472 E5
N043.34.39.363 E003.57.46.927 E6
N043.34.39.844 E003.57.47.448 E7
N043.34.40.404 E003.57.48.036 E8
N043.34.38.127 E003.57.48.058 F1
N043.34.38.512 E003.57.48.424 F2
N043.34.38.898 E003.57.48.801 F3
N043.34.39.298 E003.57.49.167 F4
N043.34.39.683 E003.57.49.533 F5
N043.34.37.683 E003.57.49.378 F6
N043.34.38.127 E003.57.49.855 F7
N043.34.38.578 E003.57.50.310 F8
N043.35.20.412 E003.57.46.703 FR1
N043.35.19.754 E003.57.48.664 FR2
N043.35.18.043 E003.57.49.782 FR3
N043.35.18.677 E003.57.50.323 FR4
N043.35.19.958 E003.57.47.439 FR5
N043.34.55.713 E003.57.15.074 TEC
N043.34.39.148 E003.57.02.381 ESMA
N043.34.41.750 E003.57.16.132 ENAC
N043.34.34.075 E003.57.17.057 P3
N043.34.33.077 E003.57.20.429 P2
N043.34.32.774 E003.57.25.255 P1
N043.34.31.386 E003.57.35.502 GENDARMERIE
N043.34.29.218 E003.57.34.445 SECURITE
N043.34.30.475 E003.57.47.204 G
N043.35.21.168 E003.57.49.319 FRET
N043.34.44.048 E003.57.33.056 TERMINAL
N043.34.35.029 E003.57.49.650 STATION ESSENCE
