N043.35.06.605 E003.57.39.801 J
N043.35.01.262 E003.57.23.300 T6
N043.34.59.158 E003.57.33.529 Y
N043.34.57.803 E003.57.35.698 W1
N043.34.55.191 E003.57.28.430 W2
N043.34.52.936 E003.57.40.153 T5
N043.34.48.112 E003.57.44.037 M
N043.34.47.841 E003.57.50.070 T4
N043.34.41.987 E003.58.01.639 T3
N043.34.39.102 E003.58.11.543 V
N043.34.28.761 E003.58.28.083 T2
N043.34.18.911 E003.58.52.139 T1
N043.34.42.746 E003.57.52.549 L3
N043.34.31.851 E003.57.50.731 GT
N043.34.28.327 E003.57.50.070 GS
N043.34.23.449 E003.57.49.161 L2
N043.34.16.728 E003.57.47.756 SL
N043.34.14.624 E003.57.47.447 L1
N043.34.20.938 E003.57.38.667 S1
N043.34.23.783 E003.57.32.902 SN
N043.34.25.899 E003.57.32.797 N2
N043.34.25.275 E003.57.29.888 NS
N043.34.27.148 E003.57.26.344 S2
N043.34.29.854 E003.57.23.277 K2
N043.34.30.305 E003.57.19.892 S3
N043.34.31.796 E003.57.19.099 K4
N043.34.32.456 E003.57.17.882 K5
N043.34.32.803 E003.57.17.036 K6
N043.34.30.270 E003.57.16.877 Q
N043.34.32.629 E003.57.15.608 S4
N043.34.34.676 E003.57.14.233 R2
N043.34.35.508 E003.57.09.737 S5
N043.34.33.004 E003.57.12.766 R1
