N043.05.53.844 E006.09.09.558 Aire transbordement Cargo
N043.05.41.766 E006.09.26.432 P-Civ
N043.05.36.476 E006.09.33.980 Terminal
N043.05.37.641 E006.08.48.027 TWR
N043.05.18.323 E006.09.05.194 P-Douanes-Gendarmerie
N043.05.26.914 E006.08.45.215 P-Mil
N043.05.36.621 E006.08.54.539 VIP
N043.05.22.982 E006.08.56.092 HS
N043.05.39.582 E006.08.42.033 HN
N043.06.04.166 E006.08.23.450 X
N043.06.00.041 E006.08.24.745 X
N043.05.53.852 E006.08.29.832 X
N043.05.47.300 E006.08.35.197 X
N043.05.43.417 E006.08.38.462 X
N043.05.41.164 E006.08.40.298 X
N043.05.35.742 E006.08.31.259 Escale Militaire
N043.05.33.709 E006.08.30.452 H1
N043.05.31.535 E006.08.33.353 H2
N043.05.28.933 E006.08.37.082 H3
N043.05.25.982 E006.08.39.509 H4
N043.05.23.419 E006.08.41.641 H5
N043.05.21.594 E006.08.43.061 H6
N043.05.19.070 E006.08.46.081 H7
N043.05.35.158 E006.09.23.704 A1
N043.05.35.873 E006.09.23.916 A2
N043.05.37.146 E006.09.24.340 A3
N043.05.39.651 E006.09.25.007 A4
