COLOR_GrasSurface
N043.12.15.671 E006.28.27.448
N043.12.15.448 E006.28.27.370
N043.12.15.010 E006.28.27.442
N043.12.14.077 E006.28.27.789
N043.12.13.549 E006.28.27.927
N043.12.13.111 E006.28.27.966
N043.12.12.589 E006.28.27.947
N043.12.12.100 E006.28.27.846
N043.12.11.560 E006.28.27.631
N043.12.11.112 E006.28.27.380
N043.12.10.054 E006.28.29.686
N043.12.09.471 E006.28.31.380
N043.12.09.156 E006.28.32.685
N043.12.08.947 E006.28.34.413
N043.12.09.082 E006.28.37.405
N043.12.09.955 E006.28.41.306
N043.12.11.644 E006.28.44.435
N043.12.16.003 E006.28.51.674
N043.12.16.258 E006.28.52.318
N043.12.23.527 E006.29.13.107
N043.12.24.679 E006.29.13.895
N043.12.25.216 E006.29.14.850
N043.12.26.039 E006.29.16.096
N043.12.28.680 E006.29.20.147
N043.12.29.040 E006.29.20.449
N043.12.29.873 E006.29.20.787
N043.12.30.431 E006.29.20.714
N043.12.31.161 E006.29.20.413
N043.12.32.259 E006.29.19.668
N043.12.32.667 E006.29.19.162
N043.12.31.648 E006.29.17.529
N043.12.30.996 E006.29.16.157
N043.12.30.292 E006.29.14.640
N043.12.29.721 E006.29.13.616
N043.12.28.824 E006.29.12.137
N043.12.27.938 E006.29.10.653
N043.12.27.083 E006.29.09.127
N043.12.26.061 E006.29.06.984
N043.12.23.013 E006.28.58.969
N043.12.19.009 E006.28.48.451
N043.12.18.862 E006.28.47.327
N043.12.18.952 E006.28.46.844
N043.12.19.202 E006.28.46.521
N043.12.15.147 E006.28.35.755
N043.12.15.122 E006.28.34.690
N043.12.15.524 E006.28.30.148
N043.12.15.830 E006.28.27.753

COLOR_HardSurface4
N043.12.28.697 E006.29.19.768
N043.12.28.854 E006.29.20.103
N043.12.29.071 E006.29.20.326
N043.12.29.392 E006.29.20.527
N043.12.29.712 E006.29.20.572
N043.12.29.999 E006.29.20.505
N043.12.30.210 E006.29.20.334
N043.12.30.381 E006.29.20.106
N043.12.30.512 E006.29.19.775
N043.12.30.532 E006.29.19.341
N043.12.30.482 E006.29.19.010
N043.12.30.401 E006.29.18.755
N043.12.29.708 E006.29.19.261
N043.12.29.618 E006.29.19.269
N043.12.29.534 E006.29.19.192
N043.12.27.990 E006.29.15.197
N043.12.27.159 E006.29.15.831

COLOR_HardSurface4
N043.12.14.591 E006.28.33.153
N043.12.14.035 E006.28.31.453
N043.12.13.955 E006.28.30.836
N043.12.13.362 E006.28.29.526
N043.12.12.983 E006.28.28.626
N043.12.12.299 E006.28.28.595
N043.12.12.293 E006.28.28.673
N043.12.11.661 E006.28.28.714
N043.12.11.423 E006.28.28.755
N043.12.11.325 E006.28.28.796
N043.12.11.202 E006.28.28.935
N043.12.14.348 E006.28.33.352

COLOR_RunwayGrass
N043.12.18.273 E006.28.47.742
N043.12.18.384 E006.28.47.611
N043.12.18.441 E006.28.47.423
N043.12.18.439 E006.28.47.131
N043.12.18.492 E006.28.46.665
N043.12.18.589 E006.28.46.160
N043.12.18.647 E006.28.45.907
N043.12.18.633 E006.28.45.807
N043.12.16.193 E006.28.39.396
N043.12.16.076 E006.28.39.205
N043.12.15.956 E006.28.39.071
N043.12.15.711 E006.28.38.597
N043.12.14.938 E006.28.39.175

COLOR_RunwayGrass
N043.12.10.259 E006.28.38.015
N043.12.10.468 E006.28.39.236
N043.12.10.766 E006.28.40.331
N043.12.11.236 E006.28.41.544
N043.12.12.295 E006.28.44.105
N043.12.13.631 E006.28.46.881
N043.12.14.048 E006.28.47.675
N043.12.14.122 E006.28.47.753
N043.12.14.230 E006.28.47.753
N043.12.14.687 E006.28.47.464
N043.12.10.888 E006.28.37.623

COLOR_HardSurface3
