N047.33.46.474 W000.18.45.538 TWR
N047.33.43.857 W000.18.47.589 A
N047.33.44.230 W000.18.47.501 A1
N047.33.44.628 W000.18.47.611 A2
N047.33.45.006 W000.18.47.764 A3
N047.33.43.766 W000.18.48.635 B
N047.33.44.135 W000.18.48.431 B1
N047.33.44.513 W000.18.48.591 B2
N047.33.44.900 W000.18.48.744 B3
N047.33.43.713 W000.18.49.584 C
N047.33.44.020 W000.18.49.460 C1
N047.33.44.398 W000.18.49.540 C2
N047.33.44.790 W000.18.49.664 C3
N047.33.43.634 W000.18.50.504 D
N047.33.43.912 W000.18.50.395 D1
N047.33.44.294 W000.18.50.490 D2
N047.33.44.692 W000.18.50.577 D3
N047.33.43.572 W000.18.51.453 E
N047.33.45.022 W000.18.41.556 J
N047.33.44.835 W000.18.40.929 K
N047.33.44.982 W000.18.39.622 L
N047.33.45.112 W000.18.38.293 M
N047.33.45.279 W000.18.36.987 N
N047.33.45.418 W000.18.35.644 P
N047.33.46.257 W000.18.49.971 Terminal
N047.33.47.590 W000.18.38.585 ACB
