N048.02.09.756 W000.44.27.430 ACB
N048.02.08.016 W000.44.23.915 P-ACB
N048.02.01.969 W000.44.19.073 Hangars
N048.01.56.723 W000.44.24.350 Terminal
N048.01.55.119 W000.44.23.916 TWR
N048.01.54.032 W000.44.23.101 Parking
N048.01.52.232 W000.44.19.080 Hangars
N048.01.35.523 W000.44.14.689 X
N048.01.33.288 W000.44.12.133 X
N048.01.58.808 W000.44.24.969 2C
N048.01.58.423 W000.44.24.434 2D
N048.01.58.083 W000.44.24.115 2E
N048.01.57.878 W000.44.26.570 1A
N048.01.57.295 W000.44.25.801 1B
N048.01.52.946 W000.44.25.028 3A
N048.01.53.448 W000.44.24.201 3B
N048.01.51.235 W000.44.23.515 3C
N048.01.51.591 W000.44.22.776 3D
N048.01.51.900 W000.44.22.278 3E
