N048.26.48.529 W004.24.38.124 ACB
N048.26.46.881 W004.24.45.712 Hangars
N048.26.44.055 W004.24.56.070 P - Secondary
N048.26.38.775 W004.25.04.427 TWR
N048.26.38.103 W004.25.06.837 Fret
N048.26.35.883 W004.25.11.862 Terminal
N048.26.35.383 W004.25.21.258 1S
N048.26.36.828 W004.25.22.193 1N
N048.26.35.756 W004.25.19.745 2
N048.26.37.989 W004.25.19.367 3N
N048.26.36.310 W004.25.18.154 3S
N048.26.39.404 W004.25.18.254 4
N048.26.37.551 W004.25.16.630 4AS
N048.26.39.952 W004.25.17.286 4AN
N048.26.40.462 W004.25.15.451 5
N048.26.40.625 W004.25.14.221 6
N048.26.39.397 W004.25.13.882 8A
N048.26.38.273 W004.25.13.348 7A
N048.26.39.120 W004.25.12.302 7
N048.26.39.112 W004.25.09.914 8
N048.26.43.984 W004.25.03.316 9
N048.26.44.138 W004.25.02.481 10
N048.26.44.307 W004.25.01.813 11
N048.26.45.060 W004.25.01.540 Q2
N048.26.46.730 W004.24.57.830 Q3
N048.26.45.840 W004.25.01.590 Q4
N048.26.44.517 W004.25.00.625 12
N048.26.44.728 W004.24.59.920 13
N048.26.45.370 W004.24.59.366 14
N048.26.45.223 W004.24.57.784 15
N048.26.45.564 W004.24.55.954 16
N048.26.45.928 W004.24.54.288 17
N048.26.46.250 W004.24.52.821 18
