
COLOR_GrasSurface
N048.34.41.115 W002.04.27.951
N048.34.45.086 W002.04.27.514
N048.34.48.100 W002.04.26.466
N048.34.51.108 W002.04.25.267
N048.34.53.795 W002.04.23.545
N048.34.57.321 W002.04.20.464
N048.35.00.219 W002.04.17.583
N048.35.03.739 W002.04.14.712
N048.35.06.393 W002.04.12.628
N048.35.08.844 W002.04.11.276
N048.35.11.357 W002.04.10.320
N048.35.11.526 W002.04.12.301
N048.35.16.496 W002.04.19.175
N048.35.17.219 W002.04.18.798
N048.35.18.383 W002.04.19.932
N048.35.30.787 W002.04.30.947
N048.35.30.643 W002.04.35.857
N048.35.33.446 W002.04.36.580
N048.35.33.319 W002.04.37.929
N048.35.56.683 W002.04.43.984
N048.35.57.185 W002.04.44.377
N048.35.57.585 W002.04.45.000
N048.35.58.053 W002.04.46.281
N048.35.58.443 W002.04.47.654
N048.35.58.790 W002.04.49.725
N048.35.59.038 W002.04.50.996
N048.35.59.375 W002.04.51.938
N048.35.59.664 W002.04.52.432
N048.36.00.294 W002.04.51.429
N048.36.04.220 W002.04.54.419
N048.36.04.968 W002.04.59.373
N048.36.03.833 W002.05.00.043
N048.35.58.271 W002.05.06.784
N048.35.57.503 W002.05.13.670
N048.35.51.312 W002.05.11.369
N048.35.50.399 W002.05.11.290
N048.35.49.546 W002.05.11.827
N048.35.48.891 W002.05.12.680
N048.35.48.510 W002.05.13.878
N048.35.47.843 W002.05.14.669
N048.35.45.226 W002.05.16.019
N048.35.44.880 W002.05.16.456
N048.35.44.945 W002.05.17.042
N048.35.48.184 W002.05.21.593
N048.35.48.201 W002.05.22.105
N048.35.38.833 W002.05.28.000
N048.35.33.680 W002.05.29.894
N048.35.32.979 W002.05.29.998
N048.35.24.573 W002.05.27.281
N048.35.24.056 W002.05.27.541
N048.35.23.506 W002.05.28.274
N048.35.22.958 W002.05.28.739
N048.35.22.360 W002.05.28.760
N048.35.21.761 W002.05.28.277
N048.35.21.356 W002.05.27.381
N048.35.21.084 W002.05.26.470
N048.35.21.060 W002.05.25.563
N048.35.21.008 W002.05.24.734
N048.35.20.810 W002.05.24.316
N048.35.06.387 W002.05.06.370
N048.35.04.720 W002.05.03.937
N048.35.04.131 W002.05.02.495
N048.35.02.860 W002.04.55.094
N048.35.02.656 W002.04.52.627
N048.35.02.758 W002.04.51.414
N048.35.02.185 W002.04.51.203
N048.34.51.582 W002.04.48.471
N048.34.50.015 W002.04.47.934
N048.34.47.298 W002.04.46.750
N048.34.45.330 W002.04.45.591
N048.34.45.033 W002.04.45.451
N048.34.44.767 W002.04.45.462
N048.34.43.084 W002.04.46.030
N048.34.42.783 W002.04.46.038
N048.34.42.280 W002.04.45.728
N048.34.42.015 W002.04.45.648
N048.34.41.542 W002.04.45.837
N048.34.40.549 W002.04.46.602
N048.34.40.040 W002.04.46.798
N048.34.39.616 W002.04.46.790
N048.34.34.172 W002.04.44.181
N048.34.33.922 W002.04.43.947
N048.34.32.100 W002.04.37.748
N048.34.31.688 W002.04.35.270
N048.34.31.575 W002.04.33.500
N048.34.31.638 W002.04.31.727
N048.34.31.987 W002.04.29.517
N048.34.32.400 W002.04.27.836
N048.34.32.929 W002.04.26.105
N048.34.37.274 W002.04.27.384


COLOR_Terrain1
N048.35.10.909 W002.04.12.503
N048.35.07.871 W002.04.14.066
N048.35.07.643 W002.04.14.674
N048.35.07.560 W002.04.15.144
N048.35.07.561 W002.04.15.645
N048.35.17.178 W002.04.46.523
N048.35.43.620 W002.04.53.506
N048.35.43.453 W002.04.56.328
N048.35.18.144 W002.04.49.765
N048.35.22.966 W002.05.05.317
N048.35.23.432 W002.05.06.870
N048.35.26.487 W002.05.16.368
N048.35.27.862 W002.05.12.306
N048.35.27.892 W002.05.11.974
N048.35.27.862 W002.05.11.658
N048.35.27.713 W002.05.11.402
N048.35.23.431 W002.05.06.869
N048.35.23.058 W002.05.05.588
N048.35.23.258 W002.05.05.938
N048.35.23.647 W002.05.06.362
N048.35.28.317 W002.05.11.251
N048.35.28.719 W002.05.11.048
N048.35.41.164 W002.05.06.333
N048.35.41.540 W002.05.06.091
N048.35.41.746 W002.05.05.847
N048.35.41.998 W002.05.05.345
N048.35.42.223 W002.05.04.761
N048.35.42.901 W002.05.06.548
N048.35.30.152 W002.05.11.891
N048.35.29.707 W002.05.12.009
N048.35.27.273 W002.05.19.019
N048.35.25.061 W002.05.20.509
N048.35.23.770 W002.05.25.414
N048.35.23.641 W002.05.25.676
N048.35.23.446 W002.05.25.916
N048.35.23.194 W002.05.26.046
N048.35.22.927 W002.05.26.088
N048.35.22.653 W002.05.25.999
N048.35.22.444 W002.05.25.779
N048.35.22.293 W002.05.25.461
N048.35.22.257 W002.05.25.072
N048.35.22.315 W002.05.24.671
N048.35.24.350 W002.05.18.858
N048.35.15.019 W002.04.48.874
N048.35.06.645 W002.04.46.834
N048.35.06.390 W002.04.47.300
N048.35.06.038 W002.04.47.958
N048.35.05.776 W002.04.48.683
N048.35.05.574 W002.04.49.430
N048.35.05.439 W002.04.50.685
N048.35.04.501 W002.04.50.411
N048.35.04.309 W002.04.49.696
N048.35.03.918 W002.04.48.726
N048.35.03.236 W002.04.47.316
N048.35.02.561 W002.04.46.028
N048.35.02.278 W002.04.45.719
N048.34.51.711 W002.04.42.910
N048.34.51.431 W002.04.42.999
N048.34.51.188 W002.04.43.166
N048.34.50.955 W002.04.43.359
N048.34.50.714 W002.04.43.541
N048.34.50.518 W002.04.43.587
N048.34.49.180 W002.04.43.262
N048.34.49.286 W002.04.42.227
N048.34.42.733 W002.04.40.449
N048.34.43.008 W002.04.37.939
N048.34.43.072 W002.04.37.944
N048.34.43.227 W002.04.37.773
N048.34.43.425 W002.04.37.603
N048.34.43.626 W002.04.37.539
N048.34.43.838 W002.04.37.524
N048.34.44.024 W002.04.37.609
N048.34.44.207 W002.04.37.758
N048.34.44.627 W002.04.38.278
N048.34.44.777 W002.04.38.379
N048.34.49.600 W002.04.39.619
N048.34.49.720 W002.04.38.576
N048.34.50.956 W002.04.38.782
N048.34.51.116 W002.04.38.937
N048.34.51.253 W002.04.39.199
N048.34.51.470 W002.04.39.659
N048.34.51.739 W002.04.39.941
N048.35.13.980 W002.04.45.705
N048.35.04.296 W002.04.14.411
N048.35.06.610 W002.04.12.545
N048.35.10.565 W002.04.10.671


COLOR_HardSurface2
N048.35.23.766 W002.05.25.469
N048.35.22.389 W002.05.24.460
N048.35.23.492 W002.05.21.272
N048.35.24.284 W002.05.23.738


COLOR_HardSurface2
N048.35.31.933 W002.05.10.278
N048.35.37.415 W002.05.08.311
N048.35.40.883 W002.05.06.776
N048.35.41.342 W002.05.06.608
N048.35.41.629 W002.05.06.281
N048.35.41.972 W002.05.05.737
N048.35.42.179 W002.05.05.020
N048.35.42.221 W002.05.04.649
N048.35.42.241 W002.05.02.189
N048.35.42.828 W002.05.02.199
N048.35.42.821 W002.05.05.387
N048.35.42.886 W002.05.05.640
N048.35.43.068 W002.05.05.761
N048.35.43.290 W002.05.05.769
N048.35.45.557 W002.05.05.379
N048.35.46.155 W002.05.07.907
N048.35.36.954 W002.05.12.375
N048.35.36.681 W002.05.11.322
N048.35.30.370 W002.05.13.678
N048.35.30.028 W002.05.11.624
N048.35.29.699 W002.05.11.737
N048.35.29.416 W002.05.11.974
N048.35.29.159 W002.05.12.278
N048.35.28.945 W002.05.12.611
N048.35.28.763 W002.05.13.010
N048.35.28.520 W002.05.13.687
N048.35.28.307 W002.05.14.333
N048.35.28.236 W002.05.14.671
N048.35.28.226 W002.05.14.993
N048.35.28.246 W002.05.15.331
N048.35.28.307 W002.05.15.685
N048.35.28.429 W002.05.15.946
N048.35.31.960 W002.05.19.901
N048.35.32.235 W002.05.19.361
N048.35.32.987 W002.05.20.272
N048.35.32.072 W002.05.22.056
N048.35.31.334 W002.05.21.185
N048.35.31.603 W002.05.20.621
N048.35.28.474 W002.05.17.247
