N048.35.22.627 W002.04.36.595 N048.35.21.369 W002.04.37.810 COLOR_Taxiway ; Gates
N048.35.24.501 W002.04.37.107 N048.35.23.268 W002.04.38.295 COLOR_Taxiway ; Gates
N048.35.26.036 W002.04.37.507 N048.35.25.418 W002.04.39.048 COLOR_Taxiway ; Gates
N048.35.28.450 W002.04.38.147 N048.35.27.215 W002.04.39.309 COLOR_Taxiway ; Gates
N048.35.41.242 W002.05.07.639 N048.35.41.682 W002.05.09.668 COLOR_Taxiway ; Gates
N048.35.39.183 W002.05.08.388 N048.35.39.655 W002.05.10.677 COLOR_Taxiway ; Gates
N048.35.38.087 W002.05.08.794 N048.35.38.565 W002.05.11.234 COLOR_Taxiway ; Gates
N048.35.36.869 W002.05.09.290 N048.35.37.428 W002.05.11.827 COLOR_Taxiway ; Gates
N048.35.08.529 W002.04.22.346 N048.35.07.252 W002.04.23.241 COLOR_RunwayBorder ; Runway borders and displaced threshold
N048.35.07.361 W002.04.21.299 N048.35.07.559 W002.04.21.721 COLOR_RunwayBorder ; Runway borders and displaced threshold
N048.35.07.559 W002.04.21.721 N048.35.07.468 W002.04.21.224 COLOR_RunwayBorder ; Runway borders and displaced threshold
N048.35.07.410 W002.04.21.236 N048.35.07.155 W002.04.20.422 COLOR_RunwayBorder ; Runway borders and displaced threshold
N048.35.06.532 W002.04.18.639 N048.35.06.715 W002.04.19.038 COLOR_RunwayBorder ; Runway borders and displaced threshold
N048.35.06.715 W002.04.19.038 N048.35.06.645 W002.04.18.569 COLOR_RunwayBorder ; Runway borders and displaced threshold
N048.35.06.588 W002.04.18.584 N048.35.06.329 W002.04.17.718 COLOR_RunwayBorder ; Runway borders and displaced threshold
N048.35.29.328 W002.05.18.169 N048.35.29.710 W002.05.17.379 COLOR_AoRapproach5 ; Intermediate holding points
N048.35.28.753 W002.05.13.019 N048.35.28.229 W002.05.12.579 COLOR_AoRapproach5 ; Intermediate holding points
N048.35.30.105 W002.05.11.533 N048.35.30.013 W002.05.11.019 COLOR_AoRapproach5 ; Intermediate holding points
