N049.10.48.454 W000.27.45.892 A1
N049.10.55.431 W000.27.32.807 A
N049.10.51.310 W000.27.31.005 H
N049.10.46.495 W000.27.16.925 H
N049.10.40.844 W000.27.08.240 H
N049.10.32.656 W000.26.53.764 H3
N049.10.44.361 W000.27.19.379 H2
N049.10.47.880 W000.27.27.030 H1
N049.10.16.843 W000.27.13.342 X
N049.10.42.029 W000.26.44.391 X
N049.10.27.123 W000.26.57.245 X
N049.10.27.639 W000.26.58.490 X
N049.10.29.951 W000.27.03.528 X
N049.10.29.498 W000.27.02.532 X
N049.10.32.237 W000.27.08.452 X
N049.10.33.346 W000.27.10.819 X
N049.10.36.727 W000.27.24.099 X
N049.10.37.762 W000.27.23.226 X
N049.10.48.039 W000.27.42.441 X
N049.10.47.235 W000.27.40.556 X
N049.10.39.237 W000.27.23.465 X
N049.10.39.874 W000.27.24.936 X
N049.10.37.799 W000.27.20.381 X
N049.10.36.850 W000.27.18.211 X
N049.10.36.458 W000.26.55.235 X
N049.10.40.914 W000.26.46.714 X
N049.10.30.404 W000.27.07.211 X
N049.10.52.903 W000.27.57.771 X
N049.10.54.009 W000.27.57.829 X
N049.10.31.256 W000.27.05.335 X
N049.10.36.046 W000.26.56.091 X
N049.10.23.078 W000.27.01.127 X
N049.10.24.657 W000.26.58.078 X
N049.10.37.037 W000.26.33.917 X
N049.10.17.456 W000.27.12.104 X
N049.10.22.228 W000.27.02.722 X
N049.10.25.632 W000.26.56.189 X
N049.10.35.731 W000.26.36.343 X
N049.10.18.211 W000.27.10.652 X
N049.10.21.326 W000.27.04.628 X
N049.10.26.462 W000.26.54.597 X
N049.10.34.295 W000.26.39.458 X
