COLOR_GrasSurface
N047.56.46.467 E000.12.12.016
N047.56.57.100 E000.12.18.907
N047.56.58.614 E000.12.19.965
N047.57.03.817 E000.12.22.988
N047.57.09.988 E000.12.22.957
N047.57.10.544 E000.12.22.980
N047.57.14.463 E000.12.23.403
N047.57.22.015 E000.12.24.169
N047.57.22.542 E000.12.23.589
N047.57.23.050 E000.12.19.610
N047.57.23.151 E000.12.18.719
N047.57.23.232 E000.12.17.178
N047.57.22.555 E000.12.13.114
N047.57.22.254 E000.12.09.786
N047.57.21.981 E000.12.06.417
N047.57.21.728 E000.12.04.967
N047.57.21.223 E000.12.02.262
N047.57.20.939 E000.12.01.129
N047.57.20.302 E000.12.00.736
N047.57.19.351 E000.12.01.462
N047.57.19.006 E000.12.01.726
N047.57.18.166 E000.12.01.953
N047.57.16.881 E000.12.01.197
N047.57.15.981 E000.12.00.091
N047.57.15.255 E000.11.56.997
N047.57.14.529 E000.11.54.219
N047.57.13.519 E000.11.52.421
N047.57.10.827 E000.11.49.908
N047.57.04.417 E000.11.46.284
N047.57.00.750 E000.11.44.565
N047.56.52.394 E000.11.40.462
N047.56.46.688 E000.11.37.834
N047.56.44.543 E000.11.36.918
N047.56.40.221 E000.11.35.676
N047.56.39.796 E000.11.35.649
N047.56.38.786 E000.11.36.046
N047.56.37.848 E000.11.36.364
N047.56.37.111 E000.11.36.782
N047.56.36.474 E000.11.37.364
N047.56.35.747 E000.11.38.369
N047.56.34.632 E000.11.40.723
N047.56.33.285 E000.11.44.716
N047.56.32.665 E000.11.45.033
N047.56.31.922 E000.11.45.245
N047.56.31.550 E000.11.45.562
N047.56.31.178 E000.11.45.959
N047.56.30.699 E000.11.46.937
N047.56.30.097 E000.11.48.841
N047.56.29.229 E000.11.51.301
N047.56.28.474 E000.11.52.892
N047.56.27.464 E000.11.54.425
N047.56.26.968 E000.11.55.377
N047.56.26.897 E000.11.56.091
N047.56.26.933 E000.11.57.043
N047.56.27.198 E000.11.58.022
N047.56.27.694 E000.11.58.550
N047.56.28.562 E000.11.59.238
N047.56.30.901 E000.12.00.005
N047.56.32.353 E000.12.00.604
N047.56.33.555 E000.12.01.449
N047.56.34.357 E000.12.02.399
N047.56.35.678 E000.12.04.089
N047.56.37.350 E000.12.05.765
N047.56.39.369 E000.12.07.394

COLOR_HardSurface4
N047.56.49.937 E000.11.48.717
N047.56.49.881 E000.11.48.680
N047.56.50.085 E000.11.47.845
N047.56.49.589 E000.11.47.563
N047.56.49.601 E000.11.47.178
N047.56.48.781 E000.11.47.530
N047.56.48.371 E000.11.49.336
N047.56.50.179 E000.11.50.275

COLOR_HardSurface3
N047.57.03.003 E000.11.59.275
N047.57.07.459 E000.12.01.756
N047.57.08.064 E000.11.59.304
N047.57.03.589 E000.11.56.853

COLOR_HardSurface3
N047.56.55.236 E000.11.47.104
N047.56.55.328 E000.11.47.185
N047.56.55.409 E000.11.47.325
