N048.45.24.974 W003.28.15.104 TWR
N048.45.23.435 W003.28.15.372 Terminal
N048.45.02.316 W003.27.47.391 ACB
N048.45.28.023 W003.28.19.172 Hangars
N048.45.24.004 W003.28.17.760 1
N048.45.23.468 W003.28.13.719 L1
N048.45.23.316 W003.28.12.997 L2
N048.45.23.182 W003.28.12.291 L3
N048.45.22.527 W003.28.12.504 L4
N048.45.22.084 W003.28.12.691 L5
N048.45.21.417 W003.28.12.986 L6
N048.45.22.870 W003.28.13.955 2A
N048.45.23.004 W003.28.13.336 2B
N048.45.22.318 W003.28.14.218 2C
N048.45.21.564 W003.28.14.381 2B
