N048.25.27.000 E000.04.57.000 HOP_HALE
N047.29.11.000 W000.33.15.000 HOP_HACH
N048.41.41.000 W001.21.04.000 HOP_HAVR
N048.24.12.000 W004.31.46.000 HOP_HBRE
N046.51.15.000 W001.49.50.000 HEL_HCHL
N047.02.29.000 W000.53.50.000 HOP_HCHO
N048.49.37.000 W001.34.10.000 HOP_HGRV
N046.40.06.000 W001.24.48.000 HOP_HROC
N048.43.22.000 W000.27.55.000 HOP_HLNN
N048.01.00.000 E000.10.24.000 HOP_HLMA
N047.45.13.000 W003.21.22.000 HOP_HLOR
N047.12.32.000 W001.33.16.000 HOP_HNQM
N046.49.53.000 W000.23.10.000 HOP_HNDS
N047.59.07.000 W004.05.45.000 HOP_HQUI
N048.07.23.000 W001.41.46.000 HOP_HREP
N048.29.27.000 W002.45.03.000 HOP_HSTB
N048.38.17.000 W002.00.32.000 HOP_HSTM
N047.16.02.000 W002.15.23.000 HOP_HSTN
N047.39.50.000 W002.44.41.000 HOP_HVAN
