; ======================================================== LFRN AVISO ========================================================

[GEO]

LFRN AVISO N048.04.22.557 W001.43.17.632 N048.04.20.289 W001.43.22.514 COLOR_Taxiway
N048.04.21.595 W001.43.23.528 N048.04.22.924 W001.43.20.677 COLOR_Taxiway
N048.04.23.355 W001.43.23.816 N048.04.22.333 W001.43.26.025 COLOR_Taxiway
N048.04.23.802 W001.43.27.604 N048.04.22.569 W001.43.30.235 COLOR_Taxiway
N048.04.05.782 W001.43.22.030 N048.04.07.674 W001.43.21.507 COLOR_Taxiway
N048.04.06.157 W001.43.25.046 N048.04.07.806 W001.43.22.597 COLOR_Taxiway
N048.04.06.503 W001.43.27.978 N048.04.08.262 W001.43.25.405 COLOR_Taxiway
N048.04.06.864 W001.43.30.864 N048.04.08.597 W001.43.28.304 COLOR_Taxiway
N048.04.07.213 W001.43.33.758 N048.04.08.949 W001.43.31.213 COLOR_Taxiway
N048.04.07.596 W001.43.36.610 N048.04.09.349 W001.43.34.026 COLOR_Taxiway
N048.04.07.972 W001.43.39.477 N048.04.09.721 W001.43.36.902 COLOR_Taxiway
N048.04.08.683 W001.43.39.808 N048.04.09.023 W001.43.42.505 COLOR_Taxiway
N048.04.09.862 W001.43.39.461 N048.04.10.212 W001.43.42.256 COLOR_Taxiway
N048.04.09.113 W001.43.43.295 N048.04.09.457 W001.43.45.988 COLOR_Taxiway
N048.04.10.311 W001.43.42.953 N048.04.10.633 W001.43.45.662 COLOR_Taxiway
N048.04.11.057 W001.43.46.356 N048.04.11.372 W001.43.49.032 COLOR_Taxiway
N048.04.10.454 W001.43.46.514 N048.04.10.790 W001.43.49.236 COLOR_Taxiway
N048.04.09.848 W001.43.46.698 N048.04.10.184 W001.43.49.384 COLOR_Taxiway
N048.04.09.264 W001.43.46.841 N048.04.09.593 W001.43.49.526 COLOR_Taxiway
N048.04.25.554 W001.44.42.302 N048.04.24.127 W001.44.42.701 COLOR_RunwayBorder
N048.04.25.049 W001.44.43.672 N048.04.24.931 W001.44.43.213 COLOR_RunwayBorder
N048.04.24.931 W001.44.43.213 N048.04.24.936 W001.44.43.704 COLOR_RunwayBorder
N048.04.25.113 W001.44.44.641 N048.04.24.991 W001.44.43.681 COLOR_RunwayBorder



[REGIONS]

REGIONNAME LFRN AVISO
COLOR_GrasSurface N048.04.35.283 W001.44.34.075
N048.04.33.825 W001.44.35.537
N048.04.35.307 W001.44.39.243
N048.04.28.266 W001.44.52.794
N048.04.27.426 W001.44.54.140
N048.04.26.717 W001.44.55.095
N048.04.26.077 W001.44.55.780
N048.04.25.502 W001.44.56.348
N048.04.24.799 W001.44.56.958
N048.04.24.233 W001.44.57.349
N048.04.23.535 W001.44.57.761
N048.04.22.362 W001.44.58.252
N048.04.20.812 W001.44.51.199
N048.04.20.440 W001.44.49.569
N048.04.19.010 W001.44.45.011
N048.04.15.928 W001.44.42.560
N048.04.15.561 W001.44.42.253
N048.04.00.265 W001.44.23.849
N048.03.55.383 W001.44.17.041
N048.03.53.851 W001.44.14.186
N048.03.46.783 W001.44.06.066
N048.03.45.528 W001.44.08.172
N048.03.44.846 W001.44.07.443
N048.03.44.497 W001.44.08.011
N048.03.42.050 W001.44.05.042
N048.03.39.473 W001.44.00.500
N048.03.39.515 W001.44.00.250
N048.03.40.270 W001.43.59.438
N048.03.43.247 W001.43.53.150
N048.03.43.835 W001.43.51.499
N048.03.47.132 W001.43.42.887
N048.03.48.721 W001.43.39.297
N048.03.51.803 W001.43.32.546
N048.03.52.978 W001.43.30.522
N048.03.55.689 W001.43.27.099
N048.04.01.470 W001.43.20.074
N048.04.03.929 W001.43.17.489
N048.04.07.121 W001.43.15.139
N048.04.07.929 W001.43.14.619
N048.04.06.549 W001.43.07.479
N048.04.06.658 W001.43.04.607
N048.04.08.340 W001.43.03.919
N048.04.10.224 W001.43.01.460
N048.04.11.390 W001.42.58.236
N048.04.11.685 W001.42.57.563
N048.04.12.277 W001.42.57.059
N048.04.13.183 W001.42.56.729
N048.04.14.040 W001.42.56.682
N048.04.14.929 W001.42.56.858
N048.04.18.543 W001.43.01.609
N048.04.19.195 W001.43.02.537
N048.04.20.084 W001.43.03.847
N048.04.21.382 W001.43.07.378
N048.04.21.829 W001.43.09.038
N048.04.26.719 W001.43.23.302
N048.04.27.654 W001.43.26.218
N048.04.28.052 W001.43.29.576
N048.04.28.572 W001.43.39.798
N048.04.28.006 W001.43.40.735
N048.04.26.095 W001.43.41.269
N048.04.27.784 W001.43.55.017
N048.04.27.328 W001.43.55.086
N048.04.32.000 W001.44.32.497
N048.04.34.544 W001.44.31.094

REGIONNAME LFRN AVISO
COLOR_HardSurface2 N048.04.11.129 W001.43.28.673
N048.04.10.907 W001.43.29.058
N048.04.10.733 W001.43.29.452
N048.04.10.639 W001.43.29.896
N048.04.10.587 W001.43.30.467
N048.04.10.637 W001.43.31.081
N048.04.13.099 W001.43.50.600
N048.04.13.157 W001.43.50.669
N048.04.13.294 W001.43.50.755
N048.04.13.415 W001.43.50.844
N048.04.14.120 W001.43.51.054
N048.04.14.344 W001.43.51.090
N048.04.14.460 W001.43.51.074
N048.04.15.314 W001.43.50.871
N048.04.15.355 W001.43.51.238
N048.04.14.454 W001.43.51.443
N048.04.14.376 W001.43.51.450
N048.04.14.215 W001.43.51.426
N048.04.13.573 W001.43.51.251
N048.04.13.327 W001.43.51.179
N048.04.13.227 W001.43.51.166
N048.04.13.173 W001.43.51.206
N048.04.14.717 W001.44.03.366
N048.04.14.862 W001.44.04.391
N048.04.15.078 W001.44.05.069
N048.04.15.441 W001.44.05.676
N048.04.16.708 W001.44.06.982
N048.04.16.988 W001.44.07.252
N048.04.17.125 W001.44.07.353
N048.04.17.273 W001.44.07.429
N048.04.17.465 W001.44.07.498
N048.04.17.095 W001.44.08.470
N048.04.16.217 W001.44.07.584
N048.04.15.253 W001.44.06.608
N048.04.14.855 W001.44.06.173
N048.04.14.578 W001.44.05.650
N048.04.14.360 W001.44.05.078
N048.04.14.220 W001.44.04.167
N048.04.12.632 W001.43.51.660
N048.04.12.490 W001.43.50.787
N048.04.12.306 W001.43.50.308
