; ============================================ LFRS AVISO v2 ============================================

[GEO]

LFRS AVISO v2 N047.09.52.650 W001.36.07.250 N047.09.52.071 W001.36.07.693 COLOR_RunwayBorder
N047.09.52.127 W001.36.07.842 N047.09.51.785 W001.36.07.910 COLOR_RunwayBorder
N047.09.51.785 W001.36.07.910 N047.09.52.025 W001.36.07.537 COLOR_RunwayBorder
N047.09.51.214 W001.36.08.344 N047.09.50.632 W001.36.08.789 COLOR_RunwayBorder
N047.09.50.693 W001.36.08.941 N047.09.50.348 W001.36.09.010 COLOR_RunwayBorder
N047.09.50.348 W001.36.09.010 N047.09.50.586 W001.36.08.624 COLOR_RunwayBorder
N047.09.49.778 W001.36.09.439 N047.09.49.199 W001.36.09.881 COLOR_RunwayBorder
N047.09.49.255 W001.36.10.032 N047.09.48.912 W001.36.10.103 COLOR_RunwayBorder
N047.09.48.912 W001.36.10.103 N047.09.49.151 W001.36.09.721 COLOR_RunwayBorder
N047.09.48.340 W001.36.10.535 N047.09.47.759 W001.36.10.981 COLOR_RunwayBorder
N047.09.47.819 W001.36.11.131 N047.09.47.469 W001.36.11.201 COLOR_RunwayBorder
N047.09.47.469 W001.36.11.201 N047.09.47.707 W001.36.10.823 COLOR_RunwayBorder
N047.09.47.437 W001.36.12.424 N047.09.46.773 W001.36.10.556 COLOR_RunwayBorder
N047.09.35.984 W001.36.09.802 N047.09.34.790 W001.36.06.419 COLOR_Taxiway
N047.09.34.697 W001.36.10.785 N047.09.33.500 W001.36.07.410 COLOR_Taxiway
N047.09.33.195 W001.36.11.933 N047.09.32.000 W001.36.08.547 COLOR_Taxiway
N047.09.31.905 W001.36.12.917 N047.09.30.701 W001.36.09.523 COLOR_Taxiway
N047.09.28.748 W001.36.14.468 N047.09.27.280 W001.36.11.649 COLOR_Taxiway
N047.09.26.349 W001.36.14.546 N047.09.26.416 W001.36.10.133 COLOR_Taxiway
N047.09.24.569 W001.36.11.307 N047.09.26.226 W001.36.08.929 COLOR_Taxiway
N047.09.23.145 W001.36.09.333 N047.09.25.391 W001.36.06.968 COLOR_Taxiway
N047.09.22.440 W001.36.07.748 N047.09.23.984 W001.36.04.118 COLOR_Taxiway
N047.09.22.182 W001.36.05.389 N047.09.23.667 W001.36.03.168 COLOR_Taxiway
N047.09.21.380 W001.36.04.661 N047.09.23.739 W001.36.03.355 COLOR_Taxiway
N047.09.22.391 W001.36.01.057 N047.09.20.866 W001.36.03.256 COLOR_Taxiway
N047.09.17.304 W001.36.04.258 N047.09.18.779 W001.36.03.130 COLOR_Taxiway
N047.09.17.963 W001.36.06.165 N047.09.19.455 W001.36.05.023 COLOR_Taxiway
N047.09.18.205 W001.36.08.380 N047.09.20.129 W001.36.06.917 COLOR_Taxiway
N047.09.17.889 W001.36.09.527 N047.09.16.572 W001.36.10.543 COLOR_Taxiway
N047.09.17.217 W001.36.07.635 N047.09.15.820 W001.36.08.701 COLOR_Taxiway
N047.09.16.543 W001.36.05.740 N047.09.15.135 W001.36.06.819 COLOR_Taxiway
N047.09.14.062 W001.36.07.633 N047.09.12.556 W001.36.08.784 COLOR_Taxiway
N047.09.14.095 W001.36.09.775 N047.09.13.154 W001.36.10.496 COLOR_Taxiway
N047.09.14.707 W001.36.11.485 N047.09.13.764 W001.36.12.196 COLOR_Taxiway
N047.09.15.598 W001.36.12.964 N047.09.14.372 W001.36.13.898 COLOR_Taxiway
N047.09.17.349 W001.36.14.029 N047.09.15.071 W001.36.15.769 COLOR_Taxiway
N047.09.18.631 W001.36.15.596 N047.09.15.072 W001.36.15.911 COLOR_Taxiway
N047.09.18.061 W001.36.16.120 N047.09.15.993 W001.36.17.705 COLOR_Taxiway
N047.09.12.872 W001.36.19.008 N047.09.12.417 W001.36.20.005 COLOR_Taxiway
N047.09.14.127 W001.36.22.743 N047.09.12.622 W001.36.22.014 COLOR_Taxiway

[REGIONS]

REGIONNAME LFRS AVISO v2
COLOR_GrasSurface N047.09.55.917 W001.36.12.335
N047.09.50.103 W001.36.17.267
N047.09.45.628 W001.36.20.615
N047.09.46.928 W001.36.23.000
N047.09.45.976 W001.36.34.576
N047.09.47.851 W001.36.37.939
N047.09.49.422 W001.36.39.423
N047.09.50.194 W001.36.41.528
N047.09.49.871 W001.36.43.960
N047.09.50.172 W001.36.45.616
N047.09.50.083 W001.36.47.230
N047.09.49.879 W001.36.49.090
N047.09.49.362 W001.36.51.554
N047.09.48.463 W001.36.54.940
N047.09.47.263 W001.36.58.528
N047.09.45.931 W001.37.02.061
N047.09.44.411 W001.37.04.525
N047.09.42.921 W001.37.07.269
N047.09.40.899 W001.37.09.980
N047.09.37.067 W001.37.13.981
N047.09.35.896 W001.37.14.955
N047.09.36.354 W001.37.11.145
N047.09.30.398 W001.36.49.225
N047.09.21.271 W001.36.42.791
N047.09.05.357 W001.36.52.466
N047.09.05.193 W001.36.52.374
N047.08.50.535 W001.37.03.675
N047.08.50.054 W001.37.06.697
N047.08.33.471 W001.37.19.296
N047.08.32.458 W001.37.16.394
N047.08.30.198 W001.37.18.115
N047.08.26.914 W001.37.22.016
N047.08.24.656 W001.37.17.742
N047.08.21.814 W001.37.18.056
N047.08.21.257 W001.37.17.655
N047.08.20.570 W001.37.15.648
N047.08.21.691 W001.37.11.954
N047.08.24.727 W001.37.10.385
N047.08.23.979 W001.37.05.997
N047.08.26.267 W001.37.05.021
N047.08.27.280 W001.37.04.263
N047.08.27.343 W001.37.03.990
N047.08.27.188 W001.37.03.136
N047.08.27.147 W001.37.02.175
N047.08.27.227 W001.37.01.399
N047.08.27.941 W001.36.59.799
N047.08.27.974 W001.36.59.490
N047.08.27.606 W001.36.58.801
N047.08.27.616 W001.36.58.338
N047.08.28.673 W001.36.57.635
N047.08.29.154 W001.36.57.641
N047.08.29.332 W001.36.57.728
N047.08.29.822 W001.36.58.183
N047.08.42.712 W001.36.48.270
N047.08.53.263 W001.36.40.215
N047.08.53.487 W001.36.38.466
N047.08.53.841 W001.36.36.295
N047.08.54.146 W001.36.34.702
N047.08.54.475 W001.36.33.057
N047.08.54.822 W001.36.31.619
N047.08.55.252 W001.36.29.972
N047.08.55.682 W001.36.28.544
N047.08.56.553 W001.36.25.906
N047.08.57.476 W001.36.23.600
N047.08.58.429 W001.36.21.415
N047.08.59.506 W001.36.19.123
N047.09.00.734 W001.36.16.948
N047.09.02.686 W001.36.13.967
N047.09.04.802 W001.36.11.256
N047.09.06.736 W001.36.09.170
N047.09.07.540 W001.36.08.379
N047.09.06.804 W001.36.05.551
N047.09.07.146 W001.36.02.322
N047.09.06.843 W001.36.01.260
N047.09.13.313 W001.35.57.582
N047.09.14.218 W001.35.57.198
N047.09.14.963 W001.35.58.244
N047.09.15.970 W001.35.59.107
N047.09.16.898 W001.35.59.498
N047.09.17.790 W001.35.59.630
N047.09.19.011 W001.35.59.506
N047.09.20.053 W001.35.59.176
N047.09.20.985 W001.35.58.722
N047.09.25.354 W001.35.56.326
N047.09.25.699 W001.35.56.411
N047.09.30.646 W001.35.53.738
N047.09.35.671 W001.35.53.009
N047.09.42.511 W001.35.48.928
N047.09.45.372 W001.35.47.325
N047.09.46.155 W001.35.46.942
N047.09.46.639 W001.35.46.839
N047.09.46.852 W001.35.46.873
N047.09.47.257 W001.35.47.200
N047.09.48.706 W001.35.49.392
N047.09.49.989 W001.35.50.843
N047.09.55.935 W001.35.56.029
N047.09.56.994 W001.35.57.206
N047.09.58.109 W001.35.58.877

REGIONNAME LFRS AVISO v2
COLOR_DangerArea N047.09.37.651 W001.36.51.985
N047.09.37.806 W001.36.52.194
N047.09.37.986 W001.36.52.277
N047.09.38.196 W001.36.52.318
N047.09.38.418 W001.36.52.250
N047.09.38.723 W001.36.51.988
N047.09.38.835 W001.36.51.864
N047.09.38.870 W001.36.51.947
N047.09.38.977 W001.36.51.809
N047.09.39.151 W001.36.51.500
N047.09.39.307 W001.36.51.080
N047.09.39.557 W001.36.49.743
N047.09.41.556 W001.36.39.388
N047.09.41.675 W001.36.38.552
N047.09.41.707 W001.36.37.963
N047.09.41.664 W001.36.37.403
N047.09.40.555 W001.36.30.219
N047.09.40.452 W001.36.29.881
N047.09.40.294 W001.36.29.899
N047.09.40.157 W001.36.29.836
N047.09.39.994 W001.36.29.642
N047.09.39.882 W001.36.29.349
N047.09.39.663 W001.36.28.242
N047.09.39.608 W001.36.28.101
N047.09.39.049 W001.36.27.077
N047.09.38.782 W001.36.26.387
N047.09.38.562 W001.36.25.701
N047.09.38.367 W001.36.24.810
N047.09.38.000 W001.36.23.213
N047.09.37.777 W001.36.22.138
N047.09.37.694 W001.36.21.900
N047.09.37.564 W001.36.21.685
N047.09.37.327 W001.36.21.461
N047.09.37.081 W001.36.21.256
N047.09.36.610 W001.36.21.081
N047.09.35.894 W001.36.20.975
N047.09.39.173 W001.36.18.420
N047.09.38.519 W001.36.19.493
N047.09.38.327 W001.36.20.036
N047.09.38.262 W001.36.20.560
N047.09.38.250 W001.36.21.008
N047.09.38.299 W001.36.21.424
N047.09.38.392 W001.36.21.815
N047.09.38.502 W001.36.22.064
N047.09.38.735 W001.36.22.340
N047.09.38.892 W001.36.22.395
N047.09.39.337 W001.36.22.152
N047.09.39.920 W001.36.24.766
N047.09.40.096 W001.36.25.555
N047.09.40.575 W001.36.28.642
N047.09.40.774 W001.36.29.487
N047.09.41.571 W001.36.34.520
N047.09.41.557 W001.36.34.749
N047.09.41.727 W001.36.35.874
N047.09.41.858 W001.36.36.209
N047.09.42.041 W001.36.36.465
N047.09.42.251 W001.36.36.615
N047.09.42.512 W001.36.36.670
N047.09.42.950 W001.36.36.670
N047.09.43.836 W001.36.36.595
N047.09.44.206 W001.36.36.473
N047.09.44.378 W001.36.36.473
N047.09.44.505 W001.36.36.567
N047.09.44.601 W001.36.36.701
N047.09.44.602 W001.36.36.949
N047.09.44.679 W001.36.37.142
N047.09.44.696 W001.36.37.159
N047.09.44.721 W001.36.37.423
N047.09.44.721 W001.36.37.758
N047.09.44.673 W001.36.38.081
N047.09.44.530 W001.36.38.307
N047.09.44.345 W001.36.38.488
N047.09.44.088 W001.36.38.580
N047.09.43.800 W001.36.38.690
N047.09.43.414 W001.36.38.933
N047.09.43.091 W001.36.39.194
N047.09.42.877 W001.36.39.456
N047.09.42.522 W001.36.39.914
N047.09.42.264 W001.36.40.178
N047.09.41.993 W001.36.40.307
N047.09.41.651 W001.36.40.434
N047.09.39.473 W001.36.51.559
N047.09.39.296 W001.36.52.526
N047.09.39.313 W001.36.52.816
N047.09.39.363 W001.36.53.020
N047.09.36.743 W001.36.55.721
N047.09.35.769 W001.36.53.758
N047.09.36.088 W001.36.53.334
N047.09.36.235 W001.36.53.008
N047.09.36.285 W001.36.52.624
N047.09.36.268 W001.36.52.309
N047.09.25.043 W001.36.29.197
N047.09.26.212 W001.36.28.429

REGIONNAME LFRS AVISO v2
COLOR_HardSurface3 N047.09.14.841 W001.36.23.717
N047.09.14.745 W001.36.23.565
N047.09.14.619 W001.36.23.451
N047.09.14.496 W001.36.23.369
N047.09.14.373 W001.36.23.349
N047.09.14.291 W001.36.23.378
N047.09.14.135 W001.36.23.481
N047.09.13.098 W001.36.24.292
N047.09.11.967 W001.36.21.185
N047.09.12.067 W001.36.21.098
N047.09.11.390 W001.36.19.215
N047.09.13.322 W001.36.17.756
N047.09.13.467 W001.36.18.158
N047.09.13.529 W001.36.18.332
N047.09.13.590 W001.36.18.462
N047.09.13.655 W001.36.18.554
N047.09.13.720 W001.36.18.621
N047.09.15.368 W001.36.23.283
N047.09.15.454 W001.36.23.451
N047.09.14.894 W001.36.23.867

REGIONNAME LFRS AVISO v2
COLOR_HardSurface3 N047.09.16.037 W001.36.19.088
N047.09.12.183 W001.36.08.276
N047.09.12.090 W001.36.08.017
N047.09.12.076 W001.36.07.909
N047.09.12.105 W001.36.07.859
N047.09.12.670 W001.36.07.457
N047.09.12.956 W001.36.07.206
N047.09.13.243 W001.36.06.919
N047.09.13.500 W001.36.06.612
N047.09.13.851 W001.36.06.146
N047.09.13.923 W001.36.06.058
N047.09.14.004 W001.36.05.935
N047.09.14.079 W001.36.05.741
N047.09.14.184 W001.36.05.404
N047.09.14.251 W001.36.05.265
N047.09.14.326 W001.36.05.166
N047.09.14.450 W001.36.05.087
N047.09.15.698 W001.36.04.311
N047.09.16.746 W001.36.03.525
N047.09.17.069 W001.36.03.238
N047.09.17.437 W001.36.02.938
N047.09.18.041 W001.36.02.471
N047.09.18.176 W001.36.02.369
N047.09.21.285 W001.36.00.858
N047.09.21.805 W001.36.00.616
N047.09.22.021 W001.36.00.570
N047.09.22.261 W001.36.00.576
N047.09.22.557 W001.36.00.676
N047.09.22.825 W001.36.00.821
N047.09.23.021 W001.36.01.000
N047.09.23.178 W001.36.01.210
N047.09.23.312 W001.36.01.419
N047.09.24.402 W001.36.03.676
N047.09.24.646 W001.36.04.171
N047.09.24.617 W001.36.04.314
N047.09.27.282 W001.36.09.871
N047.09.29.593 W001.36.09.459
N047.09.31.223 W001.36.07.871
N047.09.31.935 W001.36.08.066
N047.09.35.522 W001.36.05.334
N047.09.35.993 W001.36.06.579
N047.09.36.124 W001.36.06.983
N047.09.36.161 W001.36.07.177
N047.09.36.189 W001.36.07.242
N047.09.36.359 W001.36.07.521
N047.09.36.546 W001.36.07.793
N047.09.26.864 W001.36.16.016
N047.09.21.564 W001.36.09.061
N047.09.18.837 W001.36.11.359
N047.09.18.306 W001.36.17.329

REGIONNAME LFRS AVISO v2
COLOR_HardSurface3 N047.09.36.159 W001.36.05.658
N047.09.35.374 W001.36.03.451
N047.09.35.445 W001.36.03.188
N047.09.35.450 W001.36.02.929
N047.09.35.406 W001.36.02.693
N047.09.35.345 W001.36.02.522
N047.09.40.765 W001.35.58.401
N047.09.40.994 W001.35.59.024
N047.09.39.836 W001.35.59.936
N047.09.40.097 W001.36.00.696
N047.09.39.252 W001.36.01.347
N047.09.39.322 W001.36.01.566
N047.09.38.011 W001.36.02.548
N047.09.38.750 W001.36.04.585
N047.09.38.549 W001.36.05.191
N047.09.37.923 W001.36.05.632
N047.09.37.941 W001.36.05.832
N047.09.37.965 W001.36.06.041
N047.09.38.012 W001.36.06.284
N047.09.38.060 W001.36.06.457
N047.09.38.105 W001.36.06.604
N047.09.37.507 W001.36.07.096
N047.09.37.395 W001.36.06.909
N047.09.37.264 W001.36.06.675
N047.09.37.156 W001.36.06.500
N047.09.37.044 W001.36.06.337
N047.09.36.737 W001.36.05.629
N047.09.36.261 W001.36.05.951

REGIONNAME LFRS AVISO v2
COLOR_HardSurface3 N047.09.38.881 W001.36.05.328
N047.09.39.018 W001.36.04.854
N047.09.42.913 W001.36.01.881
N047.09.43.187 W001.36.02.665
N047.09.39.094 W001.36.05.826

REGIONNAME LFRS AVISO v2
COLOR_HardSurface2 N047.08.29.784 W001.37.00.872
N047.08.29.938 W001.37.00.473
N047.08.30.124 W001.37.00.121
N047.08.30.315 W001.36.59.817
N047.08.30.557 W001.36.59.551
N047.08.30.833 W001.36.59.303
N047.09.14.827 W001.36.25.822
N047.09.14.921 W001.36.25.710
N047.09.15.070 W001.36.25.467
N047.09.15.127 W001.36.25.315
N047.09.15.149 W001.36.25.138
N047.09.15.145 W001.36.24.919
N047.09.15.097 W001.36.24.605
N047.09.14.892 W001.36.23.861
N047.09.15.449 W001.36.23.441
N047.09.15.878 W001.36.24.280
N047.09.15.983 W001.36.24.420
N047.09.16.119 W001.36.24.521
N047.09.16.280 W001.36.24.547
N047.09.16.449 W001.36.24.510
N047.09.16.588 W001.36.24.452
N047.09.16.822 W001.36.24.303
N047.09.17.794 W001.36.23.565
N047.09.19.627 W001.36.21.924
N047.09.19.916 W001.36.21.620
N047.09.20.158 W001.36.21.272
N047.09.20.274 W001.36.21.014
N047.09.20.390 W001.36.20.565
N047.09.20.453 W001.36.20.156
N047.09.20.433 W001.36.19.838
N047.09.20.352 W001.36.19.453
N047.09.20.101 W001.36.18.790
N047.09.19.635 W001.36.17.762
N047.09.19.108 W001.36.16.722
N047.09.18.266 W001.36.17.363
N047.09.17.904 W001.36.16.350
N047.09.17.721 W001.36.15.813
N047.09.17.583 W001.36.15.292
N047.09.17.487 W001.36.14.745
N047.09.17.433 W001.36.14.123
N047.09.17.447 W001.36.13.518
N047.09.17.499 W001.36.12.949
N047.09.17.581 W001.36.12.348
N047.09.17.695 W001.36.11.683
N047.09.17.819 W001.36.11.207
N047.09.18.019 W001.36.10.692
N047.09.18.296 W001.36.10.176
N047.09.18.533 W001.36.09.782
N047.09.18.819 W001.36.09.340
N047.09.18.997 W001.36.09.076
N047.09.19.319 W001.36.08.686
N047.09.19.723 W001.36.08.361
N047.09.20.107 W001.36.08.134
N047.09.20.472 W001.36.08.007
N047.09.20.772 W001.36.07.969
N047.09.21.136 W001.36.07.993
N047.09.21.475 W001.36.08.051
N047.09.21.814 W001.36.08.149
N047.09.22.055 W001.36.08.281
N047.09.22.308 W001.36.08.513
